ticket_id,sla_hours,sla_breached
T000143,168,False
T000144,168,False
T000145,168,False
T000146,24,False
T000147,72,False
T000148,24,False
T000149,24,False
T000150,168,False
T000151,168,False
T000152,168,False
T000153,72,False
T000154,72,False
T000155,168,False
T000156,168,False
T000157,168,False
T000158,168,False
T000159,24,False
T000160,72,False
T000161,72,False
T000162,168,False
T000163,24,False
T000164,72,False
T000165,72,False
T000166,168,False
T000167,24,False
T000168,24,False
T000169,24,False
T000170,72,False
T000171,168,False
T000172,168,False
T000173,168,False
T000174,168,False
T000175,168,False
T000176,168,False
T000177,24,False
T000178,72,False
T000179,72,False
T000180,168,False
T000181,168,False
T000182,168,False
T000183,72,False
T000184,168,False
T000185,168,False
T000186,168,False
T000187,72,False
T000188,168,False
T000189,168,False
T000190,72,False
T000191,72,False
T000192,168,False
T000193,72,False
T000194,168,False
T000195,4,False
T000196,72,False
T000197,72,False
T000198,168,False
T000199,72,False
T000200,24,False
T000201,72,False
T000202,72,False
T000203,168,False
T000204,168,False
T000205,72,False
T000206,168,False
T000207,168,False
T000208,168,False
T000209,168,False
T000210,72,False
T000211,72,False
T000212,72,False
T000213,72,False
T000214,72,False
T000215,72,False
T000216,168,False
T000217,24,False
T000218,72,False
T000219,72,False
T000220,168,False
T000221,168,False
T000222,24,False
T000223,4,False
T000224,24,False
T000225,24,False
T000226,168,False
T000227,168,False
T000228,24,False
T000229,168,False
T000230,168,False
T000231,24,False
T000232,72,False
T000233,168,False
T000234,72,False
T000235,24,False
T000236,72,False
T000237,72,False
T000238,4,False
T000239,72,False
T000240,168,False
T000241,168,False
T000242,168,False
T000243,168,False
T000244,168,False
T000245,168,False
T000246,168,False
T000247,168,False
T000248,168,False
T000249,168,False
T000250,168,False
T000251,168,False
T000252,168,False
T000253,72,False
T000254,168,False
T000255,72,False
T000256,72,False
T000257,168,False
T000258,168,False
T000259,168,False
T000260,24,False
T000261,4,False
T000262,168,False
T000263,168,False
T000264,168,False
T000265,168,False
T000266,72,False
T000267,4,False
T000268,24,False
T000269,72,False
T000270,168,False
T000271,168,False
T000272,72,False
T000273,72,False
T000274,168,False
T000275,168,False
T000276,72,False
T000277,72,False
T000278,168,False
T000279,72,False
T000280,168,False
T000281,168,False
T000282,24,False
T000283,72,False
T000284,168,False
T000285,72,False
T000286,168,False
T000287,168,False
T000288,168,False
T000289,24,False
T000290,168,False
T000291,72,False
T000292,168,False
T000293,168,False
T000294,24,False
T000295,168,False
T000296,168,False
T000297,168,False
T000298,168,False
T000299,72,False
T000300,72,False
T000301,72,False
T000302,72,False
T000303,168,False
T000304,168,False
T000305,24,False
T000306,72,False
T000307,168,False
T000308,168,False
T000309,72,False
T000310,168,False
T000311,24,False
T000312,168,False
T000313,4,False
T000314,72,False
T000315,24,False
T000316,168,False
T000317,168,False
T000318,72,False
T000319,168,False
T000320,24,False
T000321,168,False
T000322,72,False
T000323,24,False
T000324,168,False
T000325,4,False
T000326,168,False
T000327,72,False
T000328,72,False
T000329,168,False
T000330,168,False
T000331,168,False
T000332,168,False
T000333,168,False
T000334,168,False
T000335,168,False
T000336,168,False
T000337,4,False
T000338,72,False
T000339,168,False
T000340,72,False
T000341,72,False
T000342,168,False
T000343,24,False
T000344,72,False
T000345,24,False
T000346,72,False
T000347,72,False
T000348,168,False
T000349,168,False
T000350,72,False
T000351,168,False
T000352,168,False
T000353,168,False
T000354,168,False
T000355,168,False
T000356,168,False
T000357,72,False
T000358,168,False
T000359,168,False
T000360,168,False
T000361,72,False
T000362,72,False
T000363,168,False
T000364,168,False
T000365,72,False
T000366,24,False
T000367,168,False
T000368,72,False
T000369,168,False
T000370,168,False
T000371,72,False
T000372,168,False
T000373,72,False
T000374,168,False
T000375,72,False
T000376,168,False
T000377,168,False
T000378,168,False
T000379,168,False
T000380,168,False
T000381,168,False
T000382,168,False
T000383,72,False
T000384,72,False
T000385,168,False
T000386,168,False
T000387,72,False
T000388,24,False
T000389,168,False
T000390,168,False
T000391,72,False
T000392,168,False
T000393,168,False
T000394,72,False
T000395,168,False
T000396,168,False
T000397,72,False
T000398,168,False
T000399,72,False
T000400,24,False
T000401,72,False
T000402,72,False
T000403,72,False
T000404,24,False
T000405,168,False
T000406,168,False
T000407,24,False
T000408,72,False
T000409,168,False
T000410,24,False
T000411,168,False
T000412,72,False
T000413,4,False
T000414,72,False
T000415,72,False
T000416,72,False
T000417,24,False
T000418,4,False
T000419,168,False
T000420,168,False
T000421,72,False
T000422,4,False
T000423,168,False
T000424,24,False
T000425,72,False
T000426,168,False
T000427,72,False
T000428,168,False
T000429,168,False
T000430,24,False
T000431,168,False
T000432,24,False
T000433,168,False
T000434,168,False
T000435,168,False
T000436,24,False
T000437,168,False
T000438,72,False
T000439,168,False
T000440,168,False
T000441,168,False
T000442,168,False
T000443,168,False
T000444,72,False
T000445,168,False
T000446,168,False
T000447,168,False
T000448,168,False
T000449,72,False
T000450,168,False
T000451,168,False
T000452,72,False
T000453,168,False
T000454,168,False
T000455,72,False
T000456,24,False
T000457,72,False
T000458,168,False
T000459,168,False
T000460,168,False
T000461,24,False
T000462,72,False
T000463,168,False
T000464,168,False
T000465,168,False
T000466,24,False
T000467,72,False
T000468,24,False
T000469,168,False
T000470,24,False
T000471,168,False
T000472,168,False
T000473,168,False
T000474,4,False
T000475,168,False
T000476,168,False
T000477,72,False
T000478,24,False
T000479,24,False
T000480,168,False
T000481,24,False
T000482,72,False
T000483,24,False
T000484,24,False
T000485,168,False
T000486,168,False
T000487,72,False
T000488,24,False
T000489,168,False
T000490,168,False
T000491,72,False
T000492,72,False
T000493,24,False
T000494,72,False
T000495,168,False
T000496,4,False
T000497,72,False
T000498,72,False
T000499,24,False
T000500,72,False
T000501,168,False
T000502,168,False
T000503,4,False
T000504,168,False
T000505,168,False
T000506,24,False
T000507,168,False
T000508,168,False
T000509,168,False
T000510,4,False
T000511,72,False
T000512,168,False
T000513,24,False
T000514,168,False
T000515,168,False
T000516,168,False
T000517,72,False
T000518,72,False
T000519,168,False
T000520,72,False
T000521,168,False
T000522,4,False
T000523,168,False
T000524,72,False
T000525,72,False
T000526,72,False
T000527,168,False
T000528,168,False
T000529,4,False
T000530,168,False
T000531,72,False
T000532,168,False
T000533,168,False
T000534,72,False
T000535,168,False
T000536,4,False
T000537,24,False
T000538,24,False
T000539,72,False
T000540,168,False
T000541,72,False
T000542,72,False
T000543,168,False
T000544,24,False
T000545,72,False
T000546,72,False
T000547,72,False
T000548,24,False
T000549,168,False
T000550,168,False
T000551,72,False
T000552,72,False
T000553,24,False
T000554,168,False
T000555,24,False
T000556,72,False
T000557,72,False
T000558,168,False
T000559,72,False
T000560,72,False
T000561,168,False
T000562,72,False
T000563,168,False
T000564,72,False
T000565,72,False
T000566,72,False
T000567,168,False
T000568,168,False
T000569,24,False
T000570,168,False
T000571,24,False
T000572,168,False
T000573,72,False
T000574,168,False
T000575,168,False
T000576,24,False
T000577,168,False
T000578,168,False
T000579,72,False
T000580,24,False
T000581,168,False
T000582,24,False
T000583,72,False
T000584,168,False
T000585,168,False
T000586,168,False
T000587,72,False
T000588,72,False
T000589,168,False
T000590,72,False
T000591,168,False
T000592,168,False
T000593,4,False
T000594,24,False
T000595,168,False
T000596,24,False
T000597,24,False
T000598,168,False
T000599,168,False
T000600,72,False
T000601,24,False
T000602,24,False
T000603,168,False
T000604,168,False
T000605,168,False
T000606,168,False
T000607,168,False
T000608,72,False
T000609,168,False
T000610,168,False
T000611,24,False
T000612,168,False
T000613,168,False
T000614,72,False
T000615,168,False
T000616,72,False
T000617,24,False
T000618,72,False
T000619,72,False
T000620,168,False
T000621,168,False
T000622,168,False
T000623,24,False
T000624,72,False
T000625,168,False
T000626,72,False
T000627,168,False
T000628,72,False
T000629,168,False
T000630,72,False
T000631,72,False
T000632,168,False
T000633,24,False
T000634,168,False
T000635,168,False
T000636,72,False
T000637,24,False
T000638,168,False
T000639,24,False
T000640,72,False
T000641,72,False
T000642,24,False
T000643,72,False
T000644,72,False
T000645,72,False
T000646,72,False
T000647,168,False
T000648,72,False
T000649,72,False
T000650,72,False
T000651,168,False
T000652,72,False
T000653,168,False
T000654,4,False
T000655,168,False
T000656,72,False
T000657,168,False
T000658,72,False
T000659,72,False
T000660,72,False
T000661,168,False
T000662,4,False
T000663,168,False
T000664,24,False
T000665,72,False
T000666,168,False
T000667,72,False
T000668,72,False
T000669,72,False
T000670,168,False
T000671,4,False
T000672,72,False
T000673,168,False
T000674,72,False
T000675,168,False
T000676,168,False
T000677,168,False
T000678,24,False
T000679,168,False
T000680,72,False
T000681,168,False
T000682,168,False
T000683,168,False
T000684,24,False
T000685,168,False
T000686,168,False
T000687,168,False
T000688,168,False
T000689,24,False
T000690,24,False
T000691,168,False
T000692,168,False
T000693,72,False
T000694,168,False
T000695,24,False
T000696,168,False
T000697,168,False
T000698,168,False
T000699,24,False
T000700,168,False
T000701,168,False
T000702,168,False
T000703,168,False
T000704,168,False
T000705,168,False
T000706,4,False
T000707,168,False
T000708,168,False
T000709,24,False
T000710,24,False
T000711,72,False
T000712,72,False
T000713,24,False
T000714,168,False
T000715,72,False
T000716,168,False
T000717,168,False
T000718,168,False
T000719,72,False
T000720,24,False
T000721,72,False
T000722,168,False
T000723,72,False
T000724,72,False
T000725,72,False
T000726,72,False
T000727,168,False
T000728,72,False
T000729,168,False
T000730,72,False
T000731,24,False
T000732,168,False
T000733,168,False
T000734,4,False
T000735,24,False
T000736,168,False
T000737,168,False
T000738,168,False
T000739,168,False
T000740,24,False
T000741,168,False
T000742,72,False
T000743,24,False
T000744,168,False
T000745,168,False
T000746,24,False
T000747,72,False
T000748,168,False
T000749,72,False
T000750,24,False
T000751,168,False
T000752,168,False
T000753,168,False
T000754,4,False
T000755,168,False
T000756,168,False
T000757,168,False
T000758,4,False
T000759,168,False
T000760,72,False
T000761,168,False
T000762,72,False
T000763,72,False
T000764,168,False
T000765,168,False
T000766,168,False
T000767,168,False
T000768,72,False
T000769,168,False
T000770,72,False
T000771,168,False
T000772,168,False
T000773,168,False
T000774,168,False
T000775,168,False
T000776,72,False
T000777,168,False
T000778,24,False
T000779,24,False
T000780,24,False
T000781,4,False
T000782,24,False
T000783,168,False
T000784,168,False
T000785,72,False
T000786,168,False
T000787,4,False
T000788,168,False
T000789,72,False
T000790,72,False
T000791,4,False
T000792,72,False
T000793,168,False
T000794,168,False
T000795,24,False
T000796,24,False
T000797,24,False
T000798,72,False
T000799,168,False
T000800,72,False
T000801,24,False
T000802,168,False
T000803,168,False
T000804,168,False
T000805,72,False
T000806,72,False
T000807,72,False
T000808,168,False
T000809,168,False
T000810,72,False
T000811,4,False
T000812,168,False
T000813,168,False
T000814,72,False
T000815,168,False
T000816,168,False
T000817,72,False
T000818,72,False
T000819,168,False
T000820,4,False
T000821,168,False
T000822,168,False
T000823,168,False
T000824,72,False
T000825,24,False
T000826,168,False
T000827,168,False
T000828,168,False
T000829,168,False
T000830,72,False
T000831,72,False
T000832,168,False
T000833,4,False
T000834,72,False
T000835,168,False
T000836,168,False
T000837,168,False
T000838,72,False
T000839,72,False
T000840,72,False
T000841,168,False
T000842,168,False
T000843,24,False
T000844,24,False
T000845,24,False
T000846,4,False
T000847,168,False
T000848,168,False
T000849,24,False
T000850,24,False
T000851,168,False
T000852,168,False
T000853,168,False
T000854,72,False
T000855,72,False
T000856,72,False
T000857,168,False
T000858,168,False
T000859,168,False
T000860,168,False
T000861,4,False
T000862,168,False
T000863,168,False
T000864,72,False
T000865,168,False
T000866,24,False
T000867,168,False
T000868,24,False
T000869,24,False
T000870,168,False
T000871,168,False
T000872,168,False
T000873,168,False
T000874,168,False
T000875,24,False
T000876,168,False
T000877,168,False
T000878,168,False
T000879,72,False
T000880,24,False
T000881,168,False
T000882,168,False
T000883,168,False
T000884,168,False
T000885,72,False
T000886,168,False
T000887,24,False
T000888,168,False
T000889,24,False
T000890,168,False
T000891,24,False
T000892,24,False
T000893,4,False
T000894,24,False
T000895,168,False
T000896,168,False
T000897,72,False
T000898,24,False
T000899,168,False
T000900,24,False
T000901,72,False
T000902,168,False
T000903,168,False
T000904,168,False
T000905,168,False
T000906,72,False
T000907,168,False
T000908,72,False
T000909,72,False
T000910,24,False
T000911,72,False
T000912,72,False
T000913,24,False
T000914,168,False
T000915,168,False
T000916,24,False
T000917,168,False
T000918,168,False
T000919,168,False
T000920,168,False
T000921,72,False
T000922,168,False
T000923,168,False
T000924,24,False
T000925,72,False
T000926,72,False
T000927,168,False
T000928,168,False
T000929,168,False
T000930,72,False
T000931,72,False
T000932,72,False
T000933,24,False
T000934,168,False
T000935,168,False
T000936,72,False
T000937,72,False
T000938,168,False
T000939,168,False
T000940,24,False
T000941,72,False
T000942,168,False
T000943,24,False
T000944,168,False
T000945,24,False
T000946,168,False
T000947,72,False
T000948,72,False
T000949,72,False
T000950,168,False
T000951,72,False
T000952,168,False
T000953,168,False
T000954,168,False
T000955,72,False
T000956,168,False
T000957,168,False
T000958,168,False
T000959,168,False
T000960,72,False
T000961,72,False
T000962,168,False
T000963,24,False
T000964,72,False
T000965,24,False
T000966,72,False
T000967,168,False
T000968,72,False
T000969,168,False
T000970,72,False
T000971,4,False
T000972,168,False
T000973,168,False
T000974,168,False
T000975,168,False
T000976,72,False
T000977,168,False
T000978,168,False
T000979,72,False
T000980,72,False
T000981,72,False
T000982,168,False
T000983,72,False
T000984,168,False
T000985,168,False
T000986,168,False
T000987,72,False
T000988,168,False
T000989,168,False
T000990,72,False
T000991,168,False
T000992,4,False
T000993,4,False
T000994,72,False
T000995,72,False
T000996,72,False
T000997,168,False
T000998,72,False
T000999,72,False
T001000,72,False
T001001,24,False
T001002,24,False
T001003,168,False
T001004,72,False
T001005,72,False
T001006,24,False
T001007,168,False
T001008,72,False
T001009,168,False
T001010,168,False
T001011,168,False
T001012,4,False
T001013,72,False
T001014,72,False
T001015,168,False
T001016,72,False
T001017,24,False
T001018,168,False
T001019,4,False
T001020,168,False
T001021,4,False
T001022,72,False
T001023,168,False
T001024,168,False
T001025,168,False
T001026,168,False
T001027,72,False
T001028,168,False
T001029,4,False
T001030,72,False
T001031,24,False
T001032,72,False
T001033,168,False
T001034,168,False
T001035,72,False
T001036,72,False
T001037,24,False
T001038,168,False
T001039,72,False
T001040,72,False
T001041,72,False
T001042,168,False
T001043,168,False
T001044,24,False
T001045,24,False
T001046,72,False
T001047,4,False
T001048,24,False
T001049,72,False
T001050,72,False
T001051,72,False
T001052,168,False
T001053,72,False
T001054,72,False
T001055,168,False
T001056,4,False
T001057,168,False
T001058,168,False
T001059,168,False
T001060,72,False
T001061,168,False
T001062,168,False
T001063,168,False
T001064,168,False
T001065,168,False
T001066,168,False
T001067,168,False
T001068,168,False
T001069,72,False
T001070,168,False
T001071,168,False
T001072,168,False
T001073,168,False
T001074,24,False
T001075,168,False
T001076,4,False
T001077,168,False
T001078,168,False
T001079,24,False
T001080,4,False
T001081,168,False
T001082,168,False
T001083,72,False
T001084,72,False
T001085,4,False
T001086,168,False
T001087,168,False
T001088,72,False
T001089,168,False
T001090,168,False
T001091,168,False
T001092,168,False
T001093,4,False
T001094,168,False
T001095,24,False
T001096,72,False
T001097,24,False
T001098,168,False
T001099,4,False
T001100,72,False
T001101,168,False
T001102,168,False
T001103,24,False
T001104,72,False
T001105,168,False
T001106,72,False
T001107,168,False
T001108,24,False
T001109,72,False
T001110,168,False
T001111,168,False
T001112,168,False
T001113,24,False
T001114,72,False
T001115,72,False
T001116,168,False
T001117,168,False
T001118,24,False
T001119,168,False
T001120,168,False
T001121,168,False
T001122,72,False
T001123,168,False
T001124,168,False
T001125,72,False
T001126,72,False
T001127,168,False
T001128,168,False
T001129,72,False
T001130,24,False
T001131,168,False
T001132,168,False
T001133,168,False
T001134,168,False
T001135,168,False
T001136,72,False
T001137,72,False
T001138,72,False
T001139,168,False
T001140,72,False
T001141,168,False
T001142,168,False
T001143,72,False
T001144,168,False
T001145,168,False
T001146,72,False
T001147,72,False
T001148,168,False
T001149,168,False
T001150,72,False
T001151,4,False
T001152,4,False
T001153,4,False
T001154,168,False
T001155,168,False
T001156,168,False
T001157,168,False
T001158,168,False
T001159,72,False
T001160,168,False
T001161,168,False
T001162,72,False
T001163,168,False
T001164,168,False
T001165,72,False
T001166,168,False
T001167,72,False
T001168,4,False
T001169,168,False
T001170,72,False
T001171,168,False
T001172,4,False
T001173,168,False
T001174,24,False
T001175,72,False
T001176,72,False
T001177,4,False
T001178,168,False
T001179,168,False
T001180,72,False
T001181,24,False
T001182,72,False
T001183,24,False
T001184,72,False
T001185,4,False
T001186,72,False
T001187,168,False
T001188,72,False
T001189,168,False
T001190,168,False
T001191,72,False
T001192,168,False
T001193,168,False
T001194,168,False
T001195,168,False
T001196,72,False
T001197,168,False
T001198,72,False
T001199,168,False
T001200,168,False
T001201,168,False
T001202,168,False
T001203,72,False
T001204,168,False
T001205,168,False
T001206,168,False
T001207,72,False
T001208,72,False
T001209,72,False
T001210,168,False
T001211,72,False
T001212,168,False
T001213,24,False
T001214,72,False
T001215,168,False
T001216,72,False
T001217,168,False
T001218,168,False
T001219,72,False
T001220,168,False
T001221,168,False
T001222,168,False
T001223,24,False
T001224,24,False
T001225,168,False
T001226,168,False
T001227,168,False
T001228,168,False
T001229,168,False
T001230,168,False
T001231,24,False
T001232,72,False
T001233,168,False
T001234,168,False
T001235,168,False
T001236,168,False
T001237,72,False
T001238,168,False
T001239,24,False
T001240,168,False
T001241,72,False
T001242,24,False
T001243,168,False
T001244,72,False
T001245,168,False
T001246,168,False
T001247,168,False
T001248,168,False
T001249,168,False
T001250,168,False
T001251,24,False
T001252,24,False
T001253,168,False
T001254,168,False
T001255,168,False
T001256,168,False
T001257,168,False
T001258,72,False
T001259,168,False
T001260,168,False
T001261,72,False
T001262,168,False
T001263,72,False
T001264,168,False
T001265,72,False
T001266,24,False
T001267,72,False
T001268,72,False
T001269,168,False
T001270,168,False
T001271,168,False
T001272,24,False
T001273,72,False
T001274,168,False
T001275,72,False
T001276,72,False
T001277,24,False
T001278,168,False
T001279,24,False
T001280,72,False
T001281,168,False
T001282,168,False
T001283,168,False
T001284,168,False
T001285,72,False
T001286,168,False
T001287,168,False
T001288,168,False
T001289,72,False
T001290,24,False
T001291,72,False
T001292,24,False
T001293,72,False
T001294,72,False
T001295,168,False
T001296,72,False
T001297,168,False
T001298,168,False
T001299,72,False
T001300,72,False
T001301,168,False
T001302,168,False
T001303,168,False
T001304,24,False
T001305,168,False
T001306,4,False
T001307,4,False
T001308,72,False
T001309,72,False
T001310,4,False
T001311,168,False
T001312,168,False
T001313,24,False
T001314,168,False
T001315,168,False
T001316,168,False
T001317,168,False
T001318,168,False
T001319,168,False
T001320,168,False
T001321,72,False
T001322,24,False
T001323,168,False
T001324,168,False
T001325,168,False
T001326,4,False
T001327,168,False
T001328,168,False
T001329,168,False
T001330,72,False
T001331,168,False
T001332,72,False
T001333,72,False
T001334,72,False
T001335,168,False
T001336,72,False
T001337,72,False
T001338,168,False
T001339,72,False
T001340,168,False
T001341,72,False
T001342,168,False
T001343,72,False
T001344,168,False
T001345,168,False
T001346,24,False
T001347,168,False
T001348,72,False
T001349,24,False
T001350,168,False
T001351,72,False
T001352,168,False
T001353,168,False
T001354,168,False
T001355,72,False
T001356,168,False
T001357,168,False
T001358,72,False
T001359,168,False
T001360,24,False
T001361,72,False
T001362,4,False
T001363,168,False
T001364,168,False
T001365,168,False
T001366,24,False
T001367,72,False
T001368,24,False
T001369,168,False
T001370,72,False
T001371,72,False
T001372,72,False
T001373,168,False
T001374,72,False
T001375,72,False
T001376,168,False
T001377,168,False
T001378,168,False
T001379,72,False
T001380,72,False
T001381,168,False
T001382,168,False
T001383,168,False
T001384,168,False
T001385,72,False
T001386,24,False
T001387,24,False
T001388,4,False
T001389,168,False
T001390,168,False
T001391,72,False
T001392,72,False
T001393,168,False
T001394,72,False
T001395,168,False
T001396,4,False
T001397,24,False
T001398,168,False
T001399,168,False
T001400,168,False
T001401,168,False
T001402,168,False
T001403,24,False
T001404,72,False
T001405,72,False
T001406,24,False
T001407,168,False
T001408,72,False
T001409,72,False
T001410,24,False
T001411,168,False
T001412,72,False
T001413,24,False
T001414,72,False
T001415,168,False
T001416,24,False
T001417,168,False
T001418,168,False
T001419,168,False
T001420,72,False
T001421,72,False
T001422,72,False
T001423,168,False
T001424,4,False
T001425,168,False
T001426,4,False
T001427,24,False
T001428,168,False
T001429,168,False
T001430,168,False
T001431,72,False
T001432,72,False
T001433,168,False
T001434,168,False
T001435,72,False
T001436,168,False
T001437,72,False
T001438,72,False
T001439,168,False
T001440,72,False
T001441,72,False
T001442,72,False
T001443,168,False
T001444,168,False
T001445,72,False
T001446,168,False
T001447,72,False
T001448,168,False
T001449,168,False
T001450,168,False
T001451,168,False
T001452,168,False
T001453,168,False
T001454,72,False
T001455,168,False
T001456,168,False
T001457,168,False
T001458,72,False
T001459,72,False
T001460,72,False
T001461,72,False
T001462,72,False
T001463,24,False
T001464,168,False
T001465,168,False
T001466,168,False
T001467,72,False
T001468,168,False
T001469,168,False
T001470,168,False
T001471,72,False
T001472,168,False
T001473,24,False
T001474,168,False
T001475,24,False
T001476,168,False
T001477,24,False
T001478,24,False
T001479,168,False
T001480,168,False
T001481,72,False
T001482,168,False
T001483,24,False
T001484,168,False
T001485,168,False
T001486,168,False
T001487,168,False
T001488,72,False
T001489,72,False
T001490,72,False
T001491,24,False
T001492,168,False
T001493,72,False
T001494,168,False
T001495,168,False
T001496,168,False
T001497,24,False
T001498,72,False
T001499,72,False
T001500,72,False
T001501,168,False
T001502,168,False
T001503,168,False
T001504,168,False
T001505,72,False
T001506,72,False
T001507,168,False
T001508,168,False
T001509,168,False
T001510,72,False
T001511,72,False
T001512,72,False
T001513,72,False
T001514,168,False
T001515,24,False
T001516,72,False
T001517,168,False
T001518,72,False
T001519,24,False
T001520,168,False
T001521,24,False
T001522,168,False
T001523,72,False
T001524,168,False
T001525,168,False
T001526,24,False
T001527,168,False
T001528,168,False
T001529,72,False
T001530,4,False
T001531,168,False
T001532,168,False
T001533,168,False
T001534,24,False
T001535,168,False
T001536,168,False
T001537,168,False
T001538,168,False
T001539,168,False
T001540,24,False
T001541,72,False
T001542,4,False
T001543,168,False
T001544,168,False
T001545,168,False
T001546,168,False
T001547,24,False
T001548,4,False
T001549,24,False
T001550,168,False
T001551,72,False
T001552,72,False
T001553,24,False
T001554,72,False
T001555,168,False
T001556,168,False
T001557,72,False
T001558,72,False
T001559,72,False
T001560,4,False
T001561,168,False
T001562,168,False
T001563,168,False
T001564,168,False
T001565,168,False
T001566,168,False
T001567,168,False
T001568,168,False
T001569,168,False
T001570,168,False
T001571,24,False
T001572,24,False
T001573,72,False
T001574,24,False
T001575,72,False
T001576,24,False
T001577,72,False
T001578,168,False
T001579,24,False
T001580,168,False
T001581,168,False
T001582,72,False
T001583,24,False
T001584,168,False
T001585,72,False
T001586,168,False
T001587,24,False
T001588,72,False
T001589,168,False
T001590,72,False
T001591,168,False
T001592,168,False
T001593,72,False
T001594,72,False
T001595,168,False
T001596,168,False
T001597,24,False
T001598,72,False
T001599,168,False
T001600,168,False
T001601,168,False
T001602,72,False
T001603,4,False
T001604,168,False
T001605,72,False
T001606,72,False
T001607,72,False
T001608,4,False
T001609,168,False
T001610,168,False
T001611,24,False
T001612,168,False
T001613,24,False
T001614,72,False
T001615,168,False
T001616,168,False
T001617,168,False
T001618,72,False
T001619,168,False
T001620,72,False
T001621,168,False
T001622,24,False
T001623,24,False
T001624,72,False
T001625,4,False
T001626,168,False
T001627,168,False
T001628,168,False
T001629,168,False
T001630,168,False
T001631,24,False
T001632,72,False
T001633,72,False
T001634,72,False
T001635,168,False
T001636,168,False
T001637,72,False
T001638,168,False
T001639,72,False
T001640,168,False
T001641,72,False
T001642,24,False
T001643,72,False
T001644,168,False
T001645,168,False
T001646,168,False
T001647,72,False
T001648,168,False
T001649,72,False
T001650,168,False
T001651,72,False
T001652,168,False
T001653,168,False
T001654,4,False
T001655,24,False
T001656,168,False
T001657,72,False
T001658,72,False
T001659,72,False
T001660,168,False
T001661,24,False
T001662,72,False
T001663,72,False
T001664,168,False
T001665,168,False
T001666,72,False
T001667,24,False
T001668,72,False
T001669,168,False
T001670,168,False
T001671,72,False
T001672,168,False
T001673,72,False
T001674,72,False
T001675,24,False
T001676,24,False
T001677,72,False
T001678,24,False
T001679,72,False
T001680,72,False
T001681,72,False
T001682,24,False
T001683,168,False
T001684,72,False
T001685,168,False
T001686,168,False
T001687,168,False
T001688,168,False
T001689,72,False
T001690,72,False
T001691,168,False
T001692,72,False
T001693,4,False
T001694,72,False
T001695,168,False
T001696,72,False
T001697,168,False
T001698,168,False
T001699,72,False
T001700,4,False
T001701,72,False
T001702,72,False
T001703,72,False
T001704,72,False
T001705,4,False
T001706,168,False
T001707,168,False
T001708,168,False
T001709,168,False
T001710,168,False
T001711,168,False
T001712,4,False
T001713,72,False
T001714,72,False
T001715,72,False
T001716,24,False
T001717,72,False
T001718,168,False
T001719,168,False
T001720,4,False
T001721,72,False
T001722,168,False
T001723,168,False
T001724,4,False
T001725,4,False
T001726,168,False
T001727,24,False
T001728,72,False
T001729,72,False
T001730,168,False
T001731,24,False
T001732,72,False
T001733,168,False
T001734,168,False
T001735,168,False
T001736,168,False
T001737,168,False
T001738,72,False
T001739,168,False
T001740,24,False
T001741,168,False
T001742,24,False
T001743,72,False
T001744,168,False
T001745,168,False
