ticket_id,created_at,first_response_at,resolved_at,priority,status,issue_type,channel,customer_id,agent_id,first_response_mins,resolution_time_hours,sla_hours,sla_breached,reopened,escalated,csat
T000019,15-08-2025 11:45,15-08-2025 14:40,52:28.3,Low,Closed,API Failure,Chat,C0522,A001,175,10.12,168,FALSE,FALSE,FALSE,3.6
T000020,16-06-2025 02:19,16-06-2025 13:35,42:09.9,Low,Closed,Integration Config,Email,C0187,A012,676,83.38,168,FALSE,FALSE,FALSE,2.8
T000021,10-10-2025 21:43,11-10-2025 07:16,27:39.1,Low,Closed,UI Bug,Portal,C0645,A005,573,58.73,168,FALSE,FALSE,FALSE,3.6
T000022,28-06-2025 16:40,28-06-2025 19:10,49:36.7,Medium,Closed,API Failure,Email,C0033,A024,150,17.14,72,FALSE,FALSE,FALSE,4.1
T000023,14-11-2024 23:17,15-11-2024 02:49,24:32.9,Medium,Closed,UI Bug,Portal,C0069,A006,212,32.11,72,FALSE,FALSE,FALSE,3.1
T000024,24-10-2025 10:33,24-10-2025 11:05,23:32.7,High,Closed,API Failure,Phone,C0592,A025,32,21.83,24,FALSE,FALSE,TRUE,3.7
T000025,03-07-2025 16:40,03-07-2025 18:51,40:22.0,Low,Closed,Performance Issue,Email,C0191,A001,131,1,168,FALSE,FALSE,FALSE,4.7
T000026,23-08-2025 20:01,24-08-2025 00:28,28:00.8,Medium,Closed,UI Bug,Email,C0101,A025,267,61.44,72,FALSE,FALSE,FALSE,2.7
T000027,09-10-2025 07:56,09-10-2025 09:40,22:15.6,Medium,Closed,Permission Issue,Phone,C0485,A001,104,21.42,72,FALSE,FALSE,FALSE,3.4
T000028,17-11-2024 01:16,17-11-2024 04:38,34:15.1,Medium,Closed,Data Mismatch,Email,C0285,A032,202,46.3,72,FALSE,FALSE,FALSE,4
T000029,28-05-2025 03:54,28-05-2025 14:04,50:43.2,Low,Closed,UI Bug,Portal,C0733,A003,610,3.94,168,FALSE,FALSE,FALSE,2.7
T000030,11-03-2025 03:30,11-03-2025 05:26,59:35.6,Low,Closed,UI Bug,Portal,C0390,A019,116,1.49,168,FALSE,FALSE,FALSE,4.4
T000031,01-05-2025 17:54,01-05-2025 22:25,58:27.2,Low,Closed,API Failure,Chat,C0565,A029,271,6.07,168,FALSE,FALSE,FALSE,3
T000032,26-01-2025 19:36,26-01-2025 22:58,19:05.8,Low,Closed,Login Issue,Chat,C0160,A002,202,5.72,168,FALSE,FALSE,FALSE,4.5
T000033,26-10-2025 15:27,27-10-2025 04:06,52:53.6,Low,Closed,Integration Config,Email,C0554,A009,759,47.42,168,FALSE,FALSE,FALSE,2.5
T000034,22-09-2025 09:19,22-09-2025 12:15,01:35.6,Medium,Closed,Billing Query,Portal,C0047,A017,176,21.7,72,FALSE,FALSE,FALSE,2.9
T000035,05-03-2025 18:58,06-03-2025 02:28,42:23.7,Low,Closed,Payroll Sync Error,Email,C0159,A036,450,18.73,168,FALSE,TRUE,FALSE,3
T000036,06-12-2024 04:31,06-12-2024 05:18,21:29.0,High,Closed,Billing Query,Email,C0446,A017,47,19.84,24,FALSE,FALSE,FALSE,3.8
T000037,02-10-2025 17:49,03-10-2025 07:02,49:07.0,Low,Closed,Payroll Sync Error,Email,C0696,A012,793,1,168,FALSE,FALSE,FALSE,3.9
T000038,21-02-2025 02:28,21-02-2025 04:30,27:50.0,Medium,Closed,UI Bug,Portal,C0758,A020,122,50,72,FALSE,FALSE,FALSE,4.4
T000039,15-04-2025 18:18,15-04-2025 19:56,39:41.6,Medium,Closed,API Failure,Email,C0523,A003,98,5.35,72,FALSE,FALSE,FALSE,4.9
T000040,27-05-2025 20:21,28-05-2025 01:36,21:08.6,Low,Closed,Login Issue,Portal,C0666,A004,315,6.99,168,FALSE,FALSE,FALSE,3.5
T000041,09-09-2025 04:37,09-09-2025 08:09,28:37.0,Low,Closed,Login Issue,Chat,C0732,A017,212,3.86,168,FALSE,FALSE,FALSE,4.6
T000042,04-07-2025 13:37,04-07-2025 21:29,25:54.8,Low,Closed,API Failure,Email,C0155,A037,472,9.8,168,FALSE,FALSE,FALSE,3.7
T000043,27-01-2025 05:32,27-01-2025 07:52,15:38.9,Medium,Closed,Login Issue,Phone,C0339,A015,140,7.71,72,FALSE,FALSE,FALSE,3.4
T000044,20-09-2025 01:56,20-09-2025 03:50,44:46.5,Medium,Closed,Login Issue,Email,C0365,A033,114,27.8,72,FALSE,FALSE,FALSE,4.1
T000045,21-03-2025 02:11,21-03-2025 02:40,11:36.0,Urgent,Closed,Login Issue,Email,C0795,A016,29,1,4,FALSE,FALSE,TRUE,4.6
T000046,10-09-2025 13:03,10-09-2025 18:28,03:45.0,Low,Closed,Login Issue,Phone,C0699,A011,325,1,168,FALSE,FALSE,FALSE,4.5
T000047,05-06-2025 03:03,05-06-2025 03:19,13:34.4,High,Closed,Payroll Sync Error,Email,C0574,A020,16,4.16,24,FALSE,FALSE,TRUE,4.4
T000048,07-12-2024 07:52,07-12-2024 08:18,08:38.0,Medium,Closed,Data Mismatch,Email,C0148,A038,26,43.27,72,FALSE,FALSE,FALSE,4
T000049,07-02-2025 18:51,08-02-2025 02:54,39:55.6,Low,Closed,Permission Issue,Email,C0144,A024,483,23.81,168,FALSE,FALSE,FALSE,4.1
T000050,20-01-2025 06:36,20-01-2025 10:03,28:09.7,Low,Pending,Payroll Sync Error,Chat,C0103,A016,207,57.87,168,FALSE,FALSE,FALSE,3.8
T000051,30-05-2025 00:07,30-05-2025 03:09,25:28.8,Low,Closed,Login Issue,Phone,C0093,A030,182,6.3,168,FALSE,FALSE,FALSE,3.1
T000052,31-08-2025 11:36,31-08-2025 13:47,55:15.0,Medium,Closed,Integration Config,Email,C0286,A034,131,94.32,72,FALSE,FALSE,FALSE,3.5
T000053,11-06-2025 06:48,11-06-2025 07:29,58:05.1,High,Closed,Login Issue,Email,C0424,A001,41,10.16,24,FALSE,FALSE,FALSE,3.7
T000054,30-09-2025 20:29,01-10-2025 05:18,59:48.7,Low,Pending,Integration Config,Email,C0119,A024,529,43.51,168,FALSE,FALSE,FALSE,2.9
T000055,20-03-2025 06:37,20-03-2025 16:09,29:45.4,Low,Closed,Login Issue,Email,C0029,A024,572,1.87,168,FALSE,FALSE,FALSE,3.1
T000056,20-12-2024 11:04,20-12-2024 15:40,17:18.3,Low,Closed,Payroll Sync Error,Chat,C0511,A009,276,27.22,168,FALSE,FALSE,FALSE,2.1
T000057,06-10-2025 22:57,07-10-2025 07:41,58:27.7,Low,Closed,Login Issue,Email,C0030,A022,524,2.02,168,FALSE,FALSE,FALSE,3.9
T000058,07-12-2024 20:39,07-12-2024 20:57,52:08.0,High,Closed,Payroll Sync Error,Phone,C0366,A012,18,25.2,24,FALSE,FALSE,FALSE,3.5
T000059,21-09-2025 21:51,22-09-2025 04:43,58:42.3,Low,Closed,Permission Issue,Portal,C0800,A017,412,6.11,168,FALSE,FALSE,FALSE,3.7
T000060,11-04-2025 04:23,11-04-2025 12:59,27:04.4,Low,Closed,Login Issue,Portal,C0138,A025,516,8.07,168,FALSE,FALSE,FALSE,4.1
T000061,26-03-2025 00:32,26-03-2025 01:32,32:51.0,High,Open,Performance Issue,Email,C0475,A028,60,1,24,FALSE,FALSE,FALSE,4.5
T000062,17-01-2025 08:05,17-01-2025 14:23,07:42.0,Low,Closed,API Failure,Chat,C0563,A015,378,13.04,168,FALSE,FALSE,FALSE,3.1
T000063,24-02-2025 07:37,24-02-2025 15:51,59:41.0,Low,Closed,Billing Query,Portal,C0392,A030,494,28.37,168,FALSE,FALSE,FALSE,3.4
T000064,22-09-2025 03:39,22-09-2025 03:55,08:51.4,Medium,Closed,Payroll Sync Error,Email,C0435,A027,16,41.49,72,FALSE,FALSE,FALSE,4
T000065,11-09-2025 23:38,12-09-2025 01:51,38:35.0,Medium,Closed,Payroll Sync Error,Portal,C0234,A022,133,1,72,FALSE,FALSE,FALSE,3.8
T000066,17-01-2025 10:05,17-01-2025 15:12,01:57.4,Medium,Closed,UI Bug,Portal,C0055,A010,307,27.94,72,FALSE,FALSE,FALSE,4.2
T000067,01-09-2025 19:37,01-09-2025 21:47,09:22.8,Medium,Closed,Login Issue,Email,C0292,A031,130,8.53,72,FALSE,FALSE,FALSE,3.5
T000068,28-12-2024 18:22,28-12-2024 22:43,21:53.5,Low,Closed,Permission Issue,Chat,C0752,A027,261,60.99,168,FALSE,FALSE,FALSE,3.9
T000069,13-12-2024 05:00,13-12-2024 05:50,19:01.2,Low,Closed,API Failure,Email,C0312,A012,50,11.32,168,FALSE,FALSE,FALSE,3.6
T000070,08-11-2024 11:48,08-11-2024 12:16,48:16.0,High,Closed,Integration Config,Email,C0548,A031,28,1,24,FALSE,FALSE,TRUE,2.8
T000071,01-06-2025 02:41,01-06-2025 08:16,41:58.0,Low,Closed,Payroll Sync Error,Portal,C0089,A032,335,1,168,FALSE,FALSE,FALSE,3.4
T000072,07-12-2024 03:29,07-12-2024 04:03,44:32.3,Urgent,Closed,Data Mismatch,Portal,C0212,A032,34,15.26,4,FALSE,FALSE,FALSE,4.3
T000073,07-09-2025 16:48,08-09-2025 00:46,13:58.1,Low,Closed,Data Mismatch,Portal,C0318,A035,478,15.42,168,FALSE,FALSE,FALSE,4.1
T000074,10-11-2024 06:15,10-11-2024 07:09,16:12.6,High,Closed,Integration Config,Email,C0757,A021,54,62.02,24,FALSE,FALSE,FALSE,4.4
T000075,18-12-2024 11:03,18-12-2024 13:36,13:50.7,Medium,Closed,API Failure,Portal,C0465,A010,153,23.17,72,FALSE,FALSE,FALSE,3.8
T000076,28-02-2025 18:26,28-02-2025 22:03,26:54.0,Low,Closed,Performance Issue,Portal,C0087,A016,217,1,168,FALSE,FALSE,FALSE,2.7
T000077,21-07-2025 05:04,21-07-2025 16:36,08:24.5,Low,Closed,Performance Issue,Portal,C0409,A007,692,13.07,168,FALSE,FALSE,FALSE,3.6
T000078,22-07-2025 18:55,22-07-2025 19:35,15:26.1,Medium,Closed,Billing Query,Portal,C0240,A004,40,37.33,72,FALSE,FALSE,FALSE,4.8
T000079,13-07-2025 19:29,13-07-2025 21:10,40:00.1,Medium,Closed,Data Mismatch,Chat,C0700,A027,101,56.17,72,FALSE,FALSE,FALSE,3.6
T000080,26-07-2025 13:23,26-07-2025 13:31,43:54.1,Medium,Closed,API Failure,Email,C0057,A025,8,3.35,72,FALSE,FALSE,FALSE,3.9
T000081,17-02-2025 06:12,17-02-2025 12:14,28:12.4,Low,Closed,Login Issue,Email,C0113,A031,362,8.27,168,FALSE,FALSE,FALSE,3.5
T000082,11-02-2025 20:09,11-02-2025 20:11,12:26.0,Medium,Closed,Performance Issue,Email,C0735,A011,2,36.05,72,FALSE,FALSE,FALSE,5
T000083,20-10-2025 15:35,20-10-2025 18:46,05:05.7,Low,Closed,Performance Issue,Chat,C0070,A020,191,18.49,168,FALSE,FALSE,FALSE,4.5
T000084,20-10-2025 09:40,20-10-2025 20:39,37:08.4,Low,Closed,Login Issue,Email,C0739,A036,659,9.94,168,FALSE,FALSE,FALSE,3.2
T000085,26-04-2025 23:52,27-04-2025 01:43,02:28.2,Low,Closed,API Failure,Chat,C0768,A017,111,20.16,168,FALSE,FALSE,FALSE,4.2
T000086,03-02-2025 00:02,03-02-2025 06:01,51:35.7,Low,Closed,Billing Query,Email,C0692,A011,359,16.82,168,FALSE,FALSE,FALSE,3.3
T000087,06-07-2025 22:02,06-07-2025 23:28,16:50.4,High,Closed,Login Issue,Portal,C0184,A030,86,5.24,24,FALSE,FALSE,FALSE,5
T000088,06-02-2025 10:07,07-02-2025 01:20,39:31.1,Low,Closed,Payroll Sync Error,Email,C0703,A035,913,50.54,168,FALSE,FALSE,FALSE,1.6
T000089,03-12-2024 19:05,04-12-2024 03:51,50:43.3,Low,Closed,Performance Issue,Email,C0744,A038,526,28.75,168,FALSE,FALSE,FALSE,2.2
T000090,17-03-2025 19:29,17-03-2025 21:50,54:25.9,Medium,Closed,Permission Issue,Email,C0276,A022,141,38.42,72,FALSE,FALSE,FALSE,2.5
T000091,25-01-2025 09:01,25-01-2025 15:57,04:28.2,Low,Closed,Billing Query,Email,C0233,A027,416,32.04,168,FALSE,FALSE,FALSE,4.3
T000092,19-07-2025 04:12,19-07-2025 04:35,26:23.2,High,Closed,Login Issue,Chat,C0054,A037,23,13.23,24,FALSE,FALSE,FALSE,3.5
T000093,15-11-2024 18:37,15-11-2024 22:57,05:35.8,Low,Closed,Payroll Sync Error,Chat,C0257,A035,260,18.47,168,FALSE,FALSE,FALSE,2.8
T000094,24-03-2025 21:06,24-03-2025 22:35,21:55.2,High,Closed,Data Mismatch,Chat,C0090,A004,89,35.25,24,FALSE,FALSE,FALSE,4.8
T000095,12-10-2025 11:08,12-10-2025 22:18,38:50.3,Low,Closed,UI Bug,Portal,C0738,A016,670,21.5,168,FALSE,FALSE,FALSE,2.6
T000096,05-05-2025 15:48,06-05-2025 01:46,48:42.0,Low,Closed,API Failure,Email,C0759,A016,598,1,168,FALSE,FALSE,FALSE,4.2
T000097,02-01-2025 16:39,02-01-2025 20:07,56:33.3,Medium,Closed,Billing Query,Portal,C0663,A021,208,3.28,72,FALSE,FALSE,FALSE,4.2
T000098,17-09-2025 12:36,17-09-2025 15:44,14:46.8,Medium,Closed,Billing Query,Portal,C0435,A026,188,34.64,72,FALSE,FALSE,FALSE,3.4
T000099,09-02-2025 18:00,09-02-2025 21:10,20:45.7,Medium,Closed,API Failure,Portal,C0625,A036,190,15.34,72,FALSE,FALSE,FALSE,4
T000100,18-06-2025 10:15,18-06-2025 23:41,46:36.7,Low,Open,Payroll Sync Error,Email,C0408,A019,806,49.52,168,FALSE,FALSE,FALSE,2.1
T000101,19-06-2025 13:48,19-06-2025 22:16,40:42.4,Low,Closed,Login Issue,Email,C0269,A017,508,4.87,168,FALSE,FALSE,FALSE,4.8
T000102,07-10-2025 23:45,08-10-2025 01:22,59:01.0,Medium,Closed,UI Bug,Chat,C0669,A026,97,27.23,72,FALSE,FALSE,FALSE,4
T000103,24-06-2025 12:14,24-06-2025 16:45,54:22.6,Low,Closed,Login Issue,Email,C0366,A022,271,8.67,168,FALSE,FALSE,FALSE,3.3
T000104,17-04-2025 18:57,18-04-2025 03:24,58:22.1,Low,Closed,UI Bug,Email,C0351,A028,507,19.01,168,FALSE,FALSE,FALSE,4.3
T000105,12-03-2025 00:14,12-03-2025 00:55,16:50.5,High,Closed,UI Bug,Email,C0299,A001,41,25.05,24,FALSE,FALSE,FALSE,4.2
T000106,21-09-2025 10:16,21-09-2025 11:55,16:45.0,Medium,Closed,Billing Query,Chat,C0159,A036,99,1,72,FALSE,TRUE,FALSE,3.2
T000107,11-04-2025 00:45,11-04-2025 01:16,11:29.2,High,Open,API Failure,Email,C0487,A037,31,8.43,24,FALSE,FALSE,FALSE,3.6
T000108,25-03-2025 14:35,25-03-2025 17:40,21:57.4,Medium,Closed,UI Bug,Portal,C0737,A002,185,15.78,72,FALSE,FALSE,FALSE,3.8
T000109,19-03-2025 23:07,20-03-2025 02:36,59:15.6,Low,Closed,Integration Config,Chat,C0526,A017,209,66.86,168,FALSE,FALSE,FALSE,3
T000110,08-10-2025 15:29,08-10-2025 19:14,43:31.4,Low,Closed,Data Mismatch,Email,C0355,A040,225,77.23,168,FALSE,FALSE,FALSE,3.5
T000111,09-07-2025 01:39,09-07-2025 03:16,59:52.6,High,Closed,Performance Issue,Portal,C0621,A038,97,21.34,24,FALSE,FALSE,FALSE,5
T000112,28-06-2025 18:51,28-06-2025 22:00,20:54.7,Low,Closed,Data Mismatch,Portal,C0401,A021,189,51.49,168,FALSE,TRUE,FALSE,3.7
T000113,19-01-2025 07:16,19-01-2025 09:13,10:08.1,Medium,Closed,Billing Query,Email,C0405,A009,117,50.89,72,FALSE,TRUE,FALSE,4.1
T000114,31-03-2025 23:48,01-04-2025 09:03,29:28.8,Low,Closed,Payroll Sync Error,Email,C0096,A013,555,23.69,168,FALSE,FALSE,FALSE,3.3
T000115,26-10-2025 05:13,26-10-2025 09:33,51:05.8,Medium,Closed,UI Bug,Email,C0707,A011,260,8.63,72,FALSE,FALSE,FALSE,4.4
T000116,18-04-2025 14:07,18-04-2025 17:04,07:59.0,Medium,Closed,UI Bug,Portal,C0570,A016,177,1,72,FALSE,FALSE,FALSE,4
T000117,06-01-2025 11:08,06-01-2025 13:58,55:19.8,Medium,Closed,Performance Issue,Email,C0392,A016,170,40.77,72,FALSE,FALSE,FALSE,2.5
T000118,06-08-2025 22:50,06-08-2025 22:52,22:47.9,Urgent,Closed,Payroll Sync Error,Phone,C0352,A002,2,26.54,4,FALSE,FALSE,TRUE,4.4
T000119,01-12-2024 09:45,01-12-2024 13:10,45:44.0,Low,Closed,Login Issue,Phone,C0666,A008,205,1,168,FALSE,FALSE,FALSE,3.1
T000120,18-10-2025 03:16,18-10-2025 03:42,17:50.2,Medium,Closed,Data Mismatch,Chat,C0576,A013,26,63.02,72,FALSE,FALSE,FALSE,4.3
T000121,03-12-2024 16:58,04-12-2024 00:23,17:57.1,Low,Closed,Payroll Sync Error,Email,C0670,A017,445,40.33,168,FALSE,FALSE,FALSE,3
T000122,28-12-2024 03:19,28-12-2024 12:55,25:54.6,Low,Closed,Data Mismatch,Email,C0777,A039,576,3.1,168,FALSE,FALSE,FALSE,3
T000123,27-04-2025 06:20,27-04-2025 07:31,04:15.1,High,Closed,Performance Issue,Email,C0633,A024,71,19.73,24,FALSE,FALSE,FALSE,3.6
T000124,01-03-2025 16:25,01-03-2025 18:31,28:32.9,Low,Closed,Performance Issue,Email,C0288,A003,126,21.05,168,FALSE,FALSE,FALSE,4
T000125,27-12-2024 10:41,27-12-2024 12:58,56:18.8,Medium,Closed,Payroll Sync Error,Chat,C0523,A030,137,30.25,72,FALSE,FALSE,FALSE,3.4
T000126,14-06-2025 21:26,14-06-2025 21:53,50:37.1,Urgent,Closed,Payroll Sync Error,Portal,C0726,A013,27,1.41,4,FALSE,FALSE,FALSE,4.9
T000127,13-06-2025 12:06,13-06-2025 18:50,01:43.2,Low,Closed,UI Bug,Portal,C0162,A019,404,72.92,168,FALSE,FALSE,FALSE,2.7
T000128,22-05-2025 12:43,23-05-2025 01:58,00:56.4,Low,Closed,Data Mismatch,Email,C0617,A007,795,8.29,168,FALSE,FALSE,FALSE,3.5
T000129,24-04-2025 18:13,25-04-2025 00:42,58:38.2,Low,Closed,Data Mismatch,Email,C0659,A009,389,13.75,168,FALSE,FALSE,FALSE,3.7
T000130,12-02-2025 02:33,12-02-2025 05:23,55:30.4,Low,Closed,Integration Config,Portal,C0182,A019,170,1.37,168,FALSE,FALSE,FALSE,3.7
T000131,11-08-2025 11:43,11-08-2025 19:13,11:46.7,Low,Closed,Data Mismatch,Portal,C0549,A040,450,68.46,168,FALSE,FALSE,FALSE,1.8
T000132,01-10-2025 02:03,01-10-2025 09:02,03:25.0,Low,Closed,Login Issue,Email,C0082,A022,419,1,168,FALSE,FALSE,FALSE,3.5
T000133,08-05-2025 21:22,09-05-2025 00:00,57:13.2,Medium,Closed,Permission Issue,Phone,C0524,A018,158,12.58,72,FALSE,FALSE,FALSE,4.4
T000134,25-04-2025 12:30,25-04-2025 14:10,20:29.6,Medium,Closed,Login Issue,Email,C0004,A023,100,8.83,72,FALSE,FALSE,FALSE,4.8
T000135,04-12-2024 10:08,04-12-2024 11:19,08:18.0,High,Closed,Login Issue,Email,C0495,A002,71,1,24,FALSE,FALSE,FALSE,4.2
T000136,07-04-2025 00:09,07-04-2025 01:30,07:35.4,Low,Closed,Integration Config,Chat,C0555,A011,81,14.97,168,FALSE,FALSE,FALSE,4.4
T000137,27-03-2025 01:20,27-03-2025 07:30,45:56.8,Low,Closed,UI Bug,Portal,C0051,A031,370,10.42,168,FALSE,FALSE,FALSE,4.6
T000138,11-06-2025 08:03,11-06-2025 14:47,30:45.4,Low,Closed,Integration Config,Email,C0261,A033,404,87.45,168,FALSE,FALSE,FALSE,2.7
T000139,24-03-2025 17:17,24-03-2025 21:04,59:01.1,Low,Closed,API Failure,Phone,C0134,A014,227,8.7,168,FALSE,FALSE,FALSE,3.9
T000140,17-12-2024 15:51,17-12-2024 15:58,34:07.7,High,Closed,Login Issue,Chat,C0599,A016,7,2.72,24,FALSE,FALSE,FALSE,4.5
T000141,22-06-2025 10:12,22-06-2025 10:17,29:39.3,Urgent,Closed,API Failure,Chat,C0362,A011,5,9.28,4,FALSE,FALSE,FALSE,3.7
T000142,21-08-2025 01:58,21-08-2025 06:49,20:10.5,Low,Closed,Data Mismatch,Chat,C0568,A033,291,24.36,168,FALSE,FALSE,FALSE,3.7
T000143,25-01-2025 03:50,25-01-2025 15:22,12:18.0,Low,Closed,Payroll Sync Error,Email,C0217,A007,692,56.37,168,FALSE,FALSE,FALSE,3.1
T000144,24-07-2025 03:58,24-07-2025 09:24,25:10.7,Low,Closed,Data Mismatch,Email,C0068,A031,326,100.45,168,FALSE,TRUE,FALSE,2.8
T000145,04-12-2024 10:01,04-12-2024 12:46,09:13.0,Low,Closed,Permission Issue,Chat,C0556,A014,165,37.13,168,FALSE,FALSE,FALSE,4.1
T000146,31-03-2025 04:51,31-03-2025 06:07,35:20.1,High,Closed,UI Bug,Chat,C0143,A028,76,48.73,24,FALSE,FALSE,FALSE,3.2
T000147,28-07-2025 18:11,28-07-2025 18:20,42:52.0,Medium,Closed,Billing Query,Email,C0346,A016,9,27.53,72,FALSE,FALSE,FALSE,4.4
T000148,02-12-2024 16:09,02-12-2024 16:31,59:26.9,High,Closed,Billing Query,Chat,C0554,A019,22,17.83,24,FALSE,FALSE,TRUE,3.8
T000149,14-08-2025 06:21,14-08-2025 06:37,35:39.4,High,Closed,Billing Query,Phone,C0651,A017,16,14.24,24,FALSE,FALSE,FALSE,4.8
T000150,13-11-2024 17:41,13-11-2024 19:07,16:21.7,Low,Closed,Data Mismatch,Chat,C0585,A026,86,61.58,168,FALSE,FALSE,FALSE,3.7
T000151,01-06-2025 10:16,01-06-2025 14:52,16:46.0,Low,Closed,API Failure,Chat,C0779,A006,276,1,168,FALSE,TRUE,FALSE,4.4
T000152,17-07-2025 22:16,18-07-2025 05:14,04:15.6,Low,Closed,UI Bug,Phone,C0194,A009,418,43.8,168,FALSE,FALSE,FALSE,4.1
T000153,19-10-2025 06:33,19-10-2025 10:56,41:46.8,Medium,Closed,Integration Config,Email,C0667,A017,263,34.13,72,FALSE,FALSE,FALSE,3.1
T000154,23-11-2024 16:59,23-11-2024 19:14,18:16.1,Medium,Closed,Payroll Sync Error,Chat,C0246,A031,135,43.31,72,FALSE,FALSE,FALSE,4
T000155,03-08-2025 18:39,04-08-2025 06:37,49:25.8,Low,Closed,Integration Config,Email,C0314,A012,718,55.17,168,FALSE,FALSE,FALSE,2
T000156,17-12-2024 16:10,17-12-2024 20:29,13:26.8,Low,Closed,UI Bug,Chat,C0730,A023,259,37.04,168,FALSE,FALSE,FALSE,3.7
T000157,08-11-2024 16:34,08-11-2024 21:22,27:28.3,Low,Closed,Login Issue,Chat,C0384,A005,288,10.88,168,FALSE,FALSE,FALSE,3.5
T000158,28-07-2025 09:57,28-07-2025 18:45,26:28.8,Low,Closed,UI Bug,Email,C0765,A036,528,29.48,168,FALSE,FALSE,FALSE,2.6
T000159,13-08-2025 14:46,13-08-2025 16:24,45:09.4,High,Closed,Login Issue,Email,C0789,A036,98,5.98,24,FALSE,FALSE,TRUE,3.3
T000160,20-01-2025 18:22,20-01-2025 20:49,39:19.8,Medium,Closed,Login Issue,Email,C0277,A003,147,3.28,72,FALSE,FALSE,FALSE,4.4
T000161,18-04-2025 01:50,18-04-2025 04:35,44:41.2,Medium,Closed,Billing Query,Chat,C0072,A024,165,18.91,72,FALSE,FALSE,FALSE,3.9
T000162,16-03-2025 23:32,17-03-2025 12:47,43:59.7,Low,Closed,UI Bug,Email,C0129,A017,795,10.19,168,FALSE,FALSE,FALSE,3
T000163,07-04-2025 12:55,07-04-2025 14:04,41:58.9,High,Closed,UI Bug,Email,C0358,A039,69,2.78,24,FALSE,FALSE,FALSE,4.5
T000164,26-09-2025 07:12,26-09-2025 09:38,12:31.0,Medium,Closed,API Failure,Phone,C0698,A026,146,1,72,FALSE,FALSE,FALSE,3.3
T000165,29-08-2025 10:58,29-08-2025 12:23,53:10.9,Medium,Closed,UI Bug,Email,C0525,A004,85,37.9,72,FALSE,FALSE,FALSE,2.8
T000166,10-10-2025 23:13,11-10-2025 09:06,43:36.9,Low,Closed,Payroll Sync Error,Email,C0220,A012,593,9.5,168,FALSE,FALSE,FALSE,3.1
