ticket_id,api_error_type,error_code,request_method,response_time_ms,retry_count
T003633,500 Server Error,ERR_RATE,GET,181,0
T002514,Rate Limit,ERR_TIMEOUT,GET,141,0
T000155,Auth Failure,ERR_AUTH,PUT,574,0
T001783,Auth Failure,ERR_RATE,PUT,102,2
T005650,500 Server Error,ERR_SCHEMA,POST,741,0
T005889,500 Server Error,ERR_PAYLOAD,POST,232,2
T006511,500 Server Error,ERR_500,GET,135,0
T000083,Auth Failure,ERR_SCHEMA,POST,153,3
T006817,500 Server Error,ERR_TIMEOUT,GET,236,0
T010087,Auth Failure,ERR_SCHEMA,GET,116,0
T010380,Rate Limit,ERR_AUTH,DELETE,447,0
T003414,Payload Error,ERR_RATE,PUT,1194,3
T007623,500 Server Error,ERR_RATE,PUT,516,0
T005990,500 Server Error,ERR_TIMEOUT,GET,39,1
T009776,Rate Limit,ERR_SCHEMA,GET,119,0
T006405,Rate Limit,ERR_TIMEOUT,POST,216,0
T008720,500 Server Error,ERR_TIMEOUT,GET,643,2
T004063,Timeout,ERR_AUTH,POST,186,0
T010992,Auth Failure,ERR_PAYLOAD,GET,116,1
T007420,Auth Failure,ERR_500,PUT,448,0
T010969,Auth Failure,ERR_SCHEMA,DELETE,403,1
T010291,Payload Error,ERR_TIMEOUT,POST,45,1
T007406,Rate Limit,ERR_PAYLOAD,GET,53,1
T001866,Timeout,ERR_SCHEMA,GET,212,1
T008231,Schema Mismatch,ERR_500,GET,585,0
T003517,Timeout,ERR_PAYLOAD,GET,98,0
T010275,Auth Failure,ERR_TIMEOUT,PUT,301,0
T000629,Rate Limit,ERR_TIMEOUT,GET,167,1
T005844,Rate Limit,ERR_RATE,GET,7,0
T002868,Auth Failure,ERR_500,GET,190,0
T003338,Auth Failure,ERR_RATE,GET,302,0
T008378,Rate Limit,ERR_RATE,GET,603,0
T001573,Payload Error,ERR_500,GET,101,0
T006647,Timeout,ERR_RATE,DELETE,267,0
T000751,Timeout,ERR_RATE,POST,782,0
T004135,Auth Failure,ERR_RATE,POST,276,0
T001946,500 Server Error,ERR_500,PUT,713,0
T009500,Schema Mismatch,ERR_SCHEMA,POST,269,0
T004914,500 Server Error,ERR_PAYLOAD,GET,282,2
T004225,Rate Limit,ERR_PAYLOAD,POST,379,2
T009083,Timeout,ERR_AUTH,GET,415,0
T002183,Auth Failure,ERR_PAYLOAD,PUT,212,0
T005134,Timeout,ERR_AUTH,POST,313,1
T008882,Auth Failure,ERR_AUTH,PUT,357,0
T009093,Rate Limit,ERR_500,POST,51,2
T010130,Auth Failure,ERR_AUTH,GET,108,0
T005470,Timeout,ERR_PAYLOAD,PUT,673,0
T000528,Auth Failure,ERR_PAYLOAD,GET,82,0
T009532,Schema Mismatch,ERR_PAYLOAD,GET,304,0
T002146,Auth Failure,ERR_TIMEOUT,PUT,16,1
T005945,Auth Failure,ERR_TIMEOUT,GET,519,0
T001413,Timeout,ERR_500,GET,268,1
T006405,Rate Limit,ERR_TIMEOUT,DELETE,210,1
T000486,Rate Limit,ERR_PAYLOAD,GET,405,1
T010792,Auth Failure,ERR_RATE,POST,431,0
T008633,Payload Error,ERR_RATE,POST,84,0
T006499,Timeout,ERR_TIMEOUT,GET,1116,1
T001164,Schema Mismatch,ERR_PAYLOAD,GET,727,0
T008972,Auth Failure,ERR_RATE,GET,71,1
T007010,Timeout,ERR_500,GET,119,0
T002077,Rate Limit,ERR_RATE,DELETE,141,0
T009531,500 Server Error,ERR_RATE,GET,459,0
T008754,Auth Failure,ERR_AUTH,PUT,121,0
T001024,Payload Error,ERR_AUTH,PUT,331,1
T007609,Timeout,ERR_PAYLOAD,POST,321,0
T008485,Auth Failure,ERR_TIMEOUT,GET,250,2
T000212,Payload Error,ERR_AUTH,POST,290,0
T002166,500 Server Error,ERR_TIMEOUT,POST,77,2
T008069,Timeout,ERR_500,GET,49,0
T004775,Rate Limit,ERR_SCHEMA,GET,122,0
T005469,Auth Failure,ERR_PAYLOAD,GET,200,0
T009247,Rate Limit,ERR_AUTH,GET,228,0
T002157,Payload Error,ERR_AUTH,GET,57,0
T001228,Timeout,ERR_RATE,GET,361,1
T003833,Timeout,ERR_500,GET,30,1
T000586,Timeout,ERR_500,GET,1299,3
T001725,Schema Mismatch,ERR_SCHEMA,POST,469,2
T000631,Timeout,ERR_AUTH,GET,696,0
T009383,Auth Failure,ERR_SCHEMA,GET,186,1
T000417,Payload Error,ERR_AUTH,GET,922,0
T004098,Rate Limit,ERR_RATE,POST,1246,0
T003552,Schema Mismatch,ERR_RATE,POST,193,1
T001839,Rate Limit,ERR_AUTH,PUT,544,0
T006675,500 Server Error,ERR_TIMEOUT,GET,333,1
T009123,Rate Limit,ERR_PAYLOAD,PUT,67,0
T001862,500 Server Error,ERR_PAYLOAD,GET,154,0
T005371,Auth Failure,ERR_RATE,GET,378,0
T006401,Auth Failure,ERR_PAYLOAD,GET,51,0
T004575,Rate Limit,ERR_PAYLOAD,POST,116,0
T001788,Payload Error,ERR_500,POST,119,1
T002074,Timeout,ERR_AUTH,DELETE,161,0
T008720,Schema Mismatch,ERR_AUTH,GET,0,1
T000535,Auth Failure,ERR_AUTH,GET,107,0
T000957,Timeout,ERR_RATE,GET,70,0
T007716,Payload Error,ERR_500,GET,841,1
T001419,Schema Mismatch,ERR_PAYLOAD,GET,539,0
T006974,Payload Error,ERR_500,POST,224,0
T010157,Auth Failure,ERR_RATE,POST,28,0
T005235,Schema Mismatch,ERR_TIMEOUT,GET,879,1
T008077,Auth Failure,ERR_RATE,POST,148,0
T005511,Timeout,ERR_AUTH,POST,440,2
T003070,Auth Failure,ERR_SCHEMA,POST,76,1
T003924,Auth Failure,ERR_TIMEOUT,POST,297,0
T006888,Payload Error,ERR_TIMEOUT,GET,173,0
T009388,500 Server Error,ERR_500,POST,212,2
T006765,Rate Limit,ERR_TIMEOUT,GET,67,2
T009904,Timeout,ERR_AUTH,POST,617,2
T006424,500 Server Error,ERR_AUTH,GET,349,0
T006934,Timeout,ERR_AUTH,POST,157,0
T004007,Timeout,ERR_RATE,GET,136,0
T002302,Rate Limit,ERR_500,POST,17,0
T002341,Rate Limit,ERR_RATE,GET,150,0
T001012,500 Server Error,ERR_PAYLOAD,POST,77,2
T010275,500 Server Error,ERR_AUTH,POST,552,1
T007997,Payload Error,ERR_500,GET,105,0
T003499,Schema Mismatch,ERR_AUTH,PUT,261,1
T003346,Rate Limit,ERR_TIMEOUT,GET,313,1
T003684,Rate Limit,ERR_500,GET,283,0
T008774,Rate Limit,ERR_500,PUT,290,0
T001215,Payload Error,ERR_SCHEMA,GET,464,2
T005015,500 Server Error,ERR_PAYLOAD,POST,175,0
T008413,Rate Limit,ERR_RATE,PUT,50,3
T006382,500 Server Error,ERR_RATE,GET,204,3
T000550,Auth Failure,ERR_AUTH,POST,4,1
T001059,Timeout,ERR_AUTH,GET,389,0
T009135,Timeout,ERR_TIMEOUT,POST,30,0
T005173,Auth Failure,ERR_TIMEOUT,POST,99,0
T003055,Auth Failure,ERR_500,GET,130,0
T007892,500 Server Error,ERR_TIMEOUT,PUT,578,2
T005563,Rate Limit,ERR_PAYLOAD,DELETE,439,1
T009805,Timeout,ERR_500,POST,601,1
T009440,Timeout,ERR_RATE,GET,1521,1
T003424,Timeout,ERR_SCHEMA,POST,251,3
T002787,Timeout,ERR_TIMEOUT,GET,47,1
T004275,Timeout,ERR_TIMEOUT,GET,206,0
T009924,500 Server Error,ERR_TIMEOUT,GET,571,0
T000996,500 Server Error,ERR_AUTH,POST,105,1
T003825,Auth Failure,ERR_AUTH,GET,257,0
T009142,Timeout,ERR_SCHEMA,GET,50,1
T001746,Timeout,ERR_PAYLOAD,GET,50,0
T000576,Rate Limit,ERR_PAYLOAD,GET,276,0
T005970,Schema Mismatch,ERR_TIMEOUT,PUT,868,0
T000941,Timeout,ERR_AUTH,GET,90,0
T008312,Timeout,ERR_TIMEOUT,GET,344,1
T009435,Auth Failure,ERR_PAYLOAD,POST,459,0
T002835,Rate Limit,ERR_500,POST,89,2
T002965,Auth Failure,ERR_AUTH,GET,82,0
T008921,Rate Limit,ERR_SCHEMA,GET,489,1
T002518,Timeout,ERR_TIMEOUT,GET,22,2
T008399,Timeout,ERR_SCHEMA,POST,118,1
T006074,Timeout,ERR_500,GET,222,1
T000236,Payload Error,ERR_TIMEOUT,GET,94,1
T003276,500 Server Error,ERR_SCHEMA,GET,32,1
T001288,Auth Failure,ERR_SCHEMA,GET,683,1
T000024,500 Server Error,ERR_RATE,GET,180,3
T002432,Payload Error,ERR_500,PUT,53,1
T005747,Payload Error,ERR_TIMEOUT,GET,1064,0
T009673,Auth Failure,ERR_PAYLOAD,POST,707,0
T000280,Schema Mismatch,ERR_SCHEMA,GET,96,0
T008304,Payload Error,ERR_RATE,GET,11,0
T010150,500 Server Error,ERR_PAYLOAD,GET,117,2
T009906,Timeout,ERR_500,GET,32,0
T003537,500 Server Error,ERR_PAYLOAD,PUT,172,0
T008391,Rate Limit,ERR_PAYLOAD,GET,249,0
T006649,Schema Mismatch,ERR_500,POST,18,0
T002539,Rate Limit,ERR_PAYLOAD,GET,1145,0
T004354,Rate Limit,ERR_500,POST,206,1
T010087,Rate Limit,ERR_TIMEOUT,POST,317,2
T006844,Timeout,ERR_AUTH,GET,92,1
T004905,Timeout,ERR_SCHEMA,GET,274,0
T010609,Timeout,ERR_PAYLOAD,GET,195,0
T003187,Auth Failure,ERR_RATE,GET,581,0
T001381,Auth Failure,ERR_500,GET,73,1
T008442,Auth Failure,ERR_PAYLOAD,GET,0,1
T006675,Timeout,ERR_500,GET,59,0
T008808,Timeout,ERR_RATE,POST,76,0
T002146,Rate Limit,ERR_TIMEOUT,DELETE,173,0
T005866,Rate Limit,ERR_PAYLOAD,PUT,141,2
T001824,Timeout,ERR_500,PUT,96,0
T004243,Rate Limit,ERR_SCHEMA,GET,102,2
T006956,Schema Mismatch,ERR_AUTH,GET,68,3
T006915,Auth Failure,ERR_PAYLOAD,POST,23,1
T005287,Timeout,ERR_PAYLOAD,PUT,447,0
T000580,Schema Mismatch,ERR_TIMEOUT,GET,10,0
T000346,Rate Limit,ERR_AUTH,GET,295,2
T009813,Timeout,ERR_500,GET,593,1
T003440,Payload Error,ERR_500,GET,141,0
T010886,Timeout,ERR_SCHEMA,GET,278,0
T002044,Timeout,ERR_AUTH,GET,295,0
T000548,500 Server Error,ERR_SCHEMA,POST,38,0
T005203,Schema Mismatch,ERR_RATE,POST,75,1
T003256,Auth Failure,ERR_PAYLOAD,POST,70,1
T007563,Timeout,ERR_500,GET,35,1
T007604,Rate Limit,ERR_500,POST,326,0
T003745,500 Server Error,ERR_TIMEOUT,GET,185,1
T002259,Rate Limit,ERR_AUTH,POST,140,0
T010106,Auth Failure,ERR_PAYLOAD,GET,600,0
T009532,500 Server Error,ERR_TIMEOUT,GET,886,0
T003170,Rate Limit,ERR_RATE,PUT,202,0
T001305,500 Server Error,ERR_500,PUT,556,0
T009544,Timeout,ERR_TIMEOUT,PUT,737,1
T003629,Rate Limit,ERR_RATE,POST,111,3
T003219,Payload Error,ERR_PAYLOAD,POST,6,1
T005361,500 Server Error,ERR_TIMEOUT,GET,387,0
T007321,Rate Limit,ERR_AUTH,PUT,106,0
T001944,Timeout,ERR_AUTH,GET,7,1
T008091,Rate Limit,ERR_TIMEOUT,POST,153,0
T005259,Payload Error,ERR_SCHEMA,PUT,197,0
T008888,Payload Error,ERR_AUTH,GET,150,0
T000760,Rate Limit,ERR_RATE,PUT,96,0
T004400,Schema Mismatch,ERR_TIMEOUT,PUT,585,3
T009299,Timeout,ERR_PAYLOAD,GET,213,0
T004835,500 Server Error,ERR_500,GET,468,0
T001592,Timeout,ERR_500,DELETE,123,0
T004730,Payload Error,ERR_TIMEOUT,GET,108,0
T006875,500 Server Error,ERR_TIMEOUT,GET,484,3
T004783,Payload Error,ERR_RATE,PUT,716,0
T010496,Auth Failure,ERR_RATE,GET,391,0
T010738,Timeout,ERR_TIMEOUT,POST,124,0
T004298,Timeout,ERR_AUTH,PUT,843,1
T002868,Schema Mismatch,ERR_SCHEMA,GET,411,2
T001858,Rate Limit,ERR_PAYLOAD,GET,284,1
T007057,Timeout,ERR_PAYLOAD,POST,219,0
T010608,Timeout,ERR_RATE,GET,301,1
T006459,Auth Failure,ERR_AUTH,GET,12,0
T002908,Timeout,ERR_RATE,POST,316,3
T005925,Auth Failure,ERR_SCHEMA,DELETE,101,0
T002395,Timeout,ERR_TIMEOUT,GET,156,0
T003845,Rate Limit,ERR_TIMEOUT,POST,259,1
T010782,Timeout,ERR_PAYLOAD,POST,107,0
T000985,Timeout,ERR_TIMEOUT,POST,66,2
T003829,Payload Error,ERR_TIMEOUT,POST,71,0
T003572,Timeout,ERR_AUTH,POST,1060,1
T006084,Schema Mismatch,ERR_TIMEOUT,GET,49,3
T004526,Rate Limit,ERR_PAYLOAD,POST,411,1
T001687,Auth Failure,ERR_500,GET,821,0
T010306,Auth Failure,ERR_PAYLOAD,POST,673,3
T008391,500 Server Error,ERR_SCHEMA,POST,232,1
T006970,Payload Error,ERR_AUTH,GET,139,3
T007997,Rate Limit,ERR_TIMEOUT,POST,194,0
T000115,500 Server Error,ERR_TIMEOUT,DELETE,6,0
T009906,Schema Mismatch,ERR_TIMEOUT,DELETE,333,2
T003492,Rate Limit,ERR_SCHEMA,GET,280,2
T009664,Auth Failure,ERR_RATE,GET,167,0
T007047,Timeout,ERR_RATE,POST,1108,0
T008321,500 Server Error,ERR_500,GET,57,0
T006913,Payload Error,ERR_RATE,GET,261,2
T010934,Timeout,ERR_RATE,GET,245,0
T000331,Rate Limit,ERR_SCHEMA,GET,34,1
T002796,Timeout,ERR_AUTH,DELETE,192,1
T002866,Schema Mismatch,ERR_PAYLOAD,GET,14,0
T008070,Auth Failure,ERR_PAYLOAD,GET,165,0
T003440,Timeout,ERR_500,GET,5,0
T009345,Timeout,ERR_AUTH,GET,48,0
T002856,Timeout,ERR_SCHEMA,GET,185,0
T003571,500 Server Error,ERR_SCHEMA,POST,411,2
T006624,Payload Error,ERR_TIMEOUT,PUT,211,0
T004824,Auth Failure,ERR_SCHEMA,GET,227,1
T010065,Rate Limit,ERR_SCHEMA,POST,143,1
T008442,Auth Failure,ERR_500,GET,278,2
T009510,500 Server Error,ERR_SCHEMA,GET,515,0
T005091,Rate Limit,ERR_PAYLOAD,GET,715,0
T008356,Schema Mismatch,ERR_PAYLOAD,PUT,1524,0
T004849,Payload Error,ERR_SCHEMA,POST,418,0
T007108,Timeout,ERR_SCHEMA,POST,36,1
T003744,Payload Error,ERR_PAYLOAD,GET,47,0
T007328,Timeout,ERR_TIMEOUT,PUT,206,1
T008807,Timeout,ERR_SCHEMA,GET,337,0
T004298,Auth Failure,ERR_PAYLOAD,GET,41,0
T009102,Timeout,ERR_AUTH,GET,152,1
T010096,Auth Failure,ERR_500,PUT,262,0
T006596,500 Server Error,ERR_RATE,GET,67,0
T007447,Rate Limit,ERR_RATE,POST,360,0
T008417,Auth Failure,ERR_PAYLOAD,POST,124,3
T008917,Rate Limit,ERR_RATE,POST,94,1
T003814,Timeout,ERR_RATE,DELETE,22,1
T008791,Payload Error,ERR_PAYLOAD,POST,344,0
T006975,Auth Failure,ERR_PAYLOAD,POST,73,2
T005730,Rate Limit,ERR_RATE,POST,37,0
T001761,Timeout,ERR_RATE,POST,108,0
T005589,500 Server Error,ERR_TIMEOUT,DELETE,392,0
T010517,Schema Mismatch,ERR_TIMEOUT,GET,99,0
T003020,500 Server Error,ERR_SCHEMA,GET,9,0
T002739,Timeout,ERR_PAYLOAD,GET,281,0
T008871,Schema Mismatch,ERR_TIMEOUT,POST,260,1
T007121,Rate Limit,ERR_RATE,PUT,608,0
T009586,Payload Error,ERR_500,GET,54,0
T001934,Auth Failure,ERR_PAYLOAD,GET,889,1
T007541,Auth Failure,ERR_PAYLOAD,GET,15,0
T001225,Timeout,ERR_SCHEMA,GET,251,0
T010224,Schema Mismatch,ERR_PAYLOAD,GET,455,1
T006064,Timeout,ERR_TIMEOUT,GET,432,0
T000404,500 Server Error,ERR_RATE,GET,321,1
T004742,Auth Failure,ERR_RATE,POST,987,3
T009948,Rate Limit,ERR_SCHEMA,POST,168,2
T004023,Payload Error,ERR_RATE,POST,321,0
T002378,Auth Failure,ERR_PAYLOAD,GET,39,1
T001432,Auth Failure,ERR_TIMEOUT,PUT,131,1
T007846,Timeout,ERR_SCHEMA,POST,37,0
T005451,Auth Failure,ERR_SCHEMA,POST,251,0
T002491,Payload Error,ERR_500,POST,644,0
T002786,Payload Error,ERR_RATE,GET,132,0
T005939,Rate Limit,ERR_TIMEOUT,GET,357,2
T009165,Rate Limit,ERR_RATE,PUT,86,0
T004730,Timeout,ERR_SCHEMA,PUT,243,0
T001134,Rate Limit,ERR_PAYLOAD,GET,46,1
T010136,Payload Error,ERR_TIMEOUT,GET,3,0
T005244,Auth Failure,ERR_TIMEOUT,GET,1402,3
T006433,Payload Error,ERR_AUTH,POST,548,0
T003027,Timeout,ERR_RATE,POST,298,0
T002161,Auth Failure,ERR_SCHEMA,POST,92,1
T008700,Schema Mismatch,ERR_TIMEOUT,GET,409,2
T004380,Schema Mismatch,ERR_PAYLOAD,GET,32,1
T007155,Rate Limit,ERR_AUTH,PUT,300,0
T004607,Rate Limit,ERR_RATE,POST,488,2
T000001,500 Server Error,ERR_PAYLOAD,GET,335,0
T004272,Schema Mismatch,ERR_TIMEOUT,GET,429,0
T002462,Timeout,ERR_RATE,GET,23,0
T007119,Auth Failure,ERR_AUTH,GET,12,0
T002194,Schema Mismatch,ERR_SCHEMA,GET,169,1
T003609,Rate Limit,ERR_TIMEOUT,DELETE,470,1
T001950,500 Server Error,ERR_TIMEOUT,GET,107,2
T001164,500 Server Error,ERR_AUTH,GET,402,0
T006725,Auth Failure,ERR_RATE,PUT,22,2
T004480,Schema Mismatch,ERR_500,GET,319,3
T002526,Timeout,ERR_PAYLOAD,POST,772,1
T008485,Payload Error,ERR_SCHEMA,GET,184,2
T002722,Rate Limit,ERR_TIMEOUT,POST,17,2
T010569,Auth Failure,ERR_AUTH,GET,382,0
T001866,Rate Limit,ERR_PAYLOAD,PUT,645,1
T007356,Rate Limit,ERR_SCHEMA,PUT,135,1
T006262,Auth Failure,ERR_SCHEMA,GET,139,1
T010235,Auth Failure,ERR_AUTH,PUT,120,0
T000128,Auth Failure,ERR_TIMEOUT,GET,33,2
T000752,Payload Error,ERR_SCHEMA,GET,109,1
T009620,500 Server Error,ERR_TIMEOUT,GET,165,0
T000155,Timeout,ERR_TIMEOUT,GET,162,1
T001858,500 Server Error,ERR_500,GET,69,1
T005854,Schema Mismatch,ERR_SCHEMA,POST,243,0
T004619,Schema Mismatch,ERR_SCHEMA,POST,233,0
T003014,Auth Failure,ERR_500,GET,144,0
T009455,Schema Mismatch,ERR_RATE,PUT,819,1
T006857,Timeout,ERR_SCHEMA,GET,1009,0
T003549,Auth Failure,ERR_TIMEOUT,GET,341,0
T002752,Rate Limit,ERR_SCHEMA,GET,100,1
T005844,Timeout,ERR_PAYLOAD,PUT,835,1
T007285,500 Server Error,ERR_RATE,GET,383,0
T001249,Auth Failure,ERR_RATE,PUT,174,0
T005498,Timeout,ERR_RATE,GET,633,0
T010789,Rate Limit,ERR_500,GET,50,2
T006124,Auth Failure,ERR_PAYLOAD,GET,328,0
T005637,Schema Mismatch,ERR_PAYLOAD,GET,97,0
T010569,Payload Error,ERR_PAYLOAD,GET,240,0
T004575,Payload Error,ERR_SCHEMA,GET,102,1
T000516,Rate Limit,ERR_SCHEMA,GET,259,0
T010689,Timeout,ERR_RATE,DELETE,168,0
T004323,Auth Failure,ERR_TIMEOUT,POST,262,1
T009972,Rate Limit,ERR_SCHEMA,PUT,23,3
T002965,Timeout,ERR_AUTH,GET,0,1
T004266,Auth Failure,ERR_500,POST,458,0
T003246,Rate Limit,ERR_TIMEOUT,GET,96,3
T006647,Payload Error,ERR_RATE,GET,356,0
T007300,Auth Failure,ERR_RATE,PUT,11,0
T001432,Auth Failure,ERR_AUTH,GET,325,0
T006030,500 Server Error,ERR_TIMEOUT,POST,377,0
T008959,Auth Failure,ERR_PAYLOAD,GET,369,0
T005061,Timeout,ERR_SCHEMA,POST,570,2
T006151,500 Server Error,ERR_500,DELETE,596,0
T003977,Auth Failure,ERR_AUTH,POST,67,0
T010295,Schema Mismatch,ERR_PAYLOAD,POST,259,0
T003419,Rate Limit,ERR_SCHEMA,GET,6,1
T005061,Timeout,ERR_RATE,GET,27,0
T008339,500 Server Error,ERR_AUTH,GET,162,0
T000594,Auth Failure,ERR_PAYLOAD,POST,11,2
T009161,Timeout,ERR_TIMEOUT,POST,127,1
T006866,Rate Limit,ERR_RATE,GET,306,0
T004471,Timeout,ERR_SCHEMA,GET,506,0
T009904,Schema Mismatch,ERR_AUTH,PUT,171,3
T001164,500 Server Error,ERR_SCHEMA,GET,199,1
T006499,Auth Failure,ERR_TIMEOUT,PUT,1,0
T000150,500 Server Error,ERR_500,GET,603,1
T007946,Rate Limit,ERR_RATE,POST,1242,0
T007609,Schema Mismatch,ERR_PAYLOAD,DELETE,179,0
T000760,500 Server Error,ERR_AUTH,POST,108,1
T007366,Schema Mismatch,ERR_AUTH,POST,58,0
T005282,Auth Failure,ERR_AUTH,GET,387,0
T002468,Payload Error,ERR_RATE,GET,158,0
T006408,Auth Failure,ERR_AUTH,GET,123,2
T004426,Auth Failure,ERR_RATE,GET,267,0
T000347,Timeout,ERR_PAYLOAD,GET,500,2
T008144,Payload Error,ERR_RATE,GET,370,0
T001499,Schema Mismatch,ERR_SCHEMA,GET,499,1
T008856,Timeout,ERR_RATE,GET,227,0
T008005,Payload Error,ERR_RATE,GET,257,0
T001569,Schema Mismatch,ERR_RATE,GET,3,2
T009757,Rate Limit,ERR_AUTH,POST,168,1
T000954,Timeout,ERR_500,POST,487,0
T002941,Schema Mismatch,ERR_RATE,PUT,290,0
T007400,Schema Mismatch,ERR_RATE,GET,352,1
T002797,Timeout,ERR_AUTH,GET,48,0
T005777,Schema Mismatch,ERR_AUTH,GET,736,2
T007303,Auth Failure,ERR_RATE,GET,414,2
T003440,Auth Failure,ERR_SCHEMA,GET,683,0
T003987,Rate Limit,ERR_500,GET,102,1
T008620,Auth Failure,ERR_500,PUT,263,2
T008851,Timeout,ERR_AUTH,POST,488,0
T003246,500 Server Error,ERR_TIMEOUT,POST,161,0
T000936,500 Server Error,ERR_500,PUT,124,0
T002840,Rate Limit,ERR_SCHEMA,GET,155,1
T005361,Auth Failure,ERR_TIMEOUT,POST,303,3
T001746,500 Server Error,ERR_RATE,GET,138,0
T006958,Schema Mismatch,ERR_AUTH,POST,74,3
T009812,Schema Mismatch,ERR_SCHEMA,GET,212,0
T003338,Rate Limit,ERR_PAYLOAD,GET,21,1
T010496,Payload Error,ERR_TIMEOUT,POST,705,1
T001462,Timeout,ERR_TIMEOUT,POST,810,0
T002518,Auth Failure,ERR_TIMEOUT,POST,1244,0
T003440,Schema Mismatch,ERR_AUTH,GET,424,0
T010257,Rate Limit,ERR_AUTH,GET,486,2
T006446,Rate Limit,ERR_PAYLOAD,GET,547,1
T002956,Timeout,ERR_PAYLOAD,POST,57,1
T007590,Rate Limit,ERR_RATE,GET,68,0
T003571,Timeout,ERR_PAYLOAD,GET,514,0
T005244,500 Server Error,ERR_500,PUT,161,0
T010323,Payload Error,ERR_SCHEMA,GET,470,0
T000750,500 Server Error,ERR_SCHEMA,PUT,46,0
T006349,Timeout,ERR_500,GET,15,2
T002216,Rate Limit,ERR_TIMEOUT,GET,151,1
T007233,Auth Failure,ERR_AUTH,GET,95,0
T008420,Auth Failure,ERR_SCHEMA,PUT,500,0
T000013,500 Server Error,ERR_PAYLOAD,POST,746,1
T005854,Rate Limit,ERR_500,POST,318,3
T001835,Payload Error,ERR_AUTH,GET,33,3
T001664,Auth Failure,ERR_PAYLOAD,DELETE,4,1
T007894,Rate Limit,ERR_RATE,GET,452,0
T006521,Auth Failure,ERR_500,GET,615,0
T001720,Auth Failure,ERR_PAYLOAD,GET,885,0
T002844,500 Server Error,ERR_AUTH,POST,379,0
T010815,Auth Failure,ERR_TIMEOUT,POST,9,2
T003462,Schema Mismatch,ERR_PAYLOAD,POST,195,1
T007336,Payload Error,ERR_PAYLOAD,PUT,202,0
T002125,Timeout,ERR_RATE,POST,13,0
T005997,Timeout,ERR_500,GET,725,0
T006074,500 Server Error,ERR_AUTH,GET,433,2
T006174,Timeout,ERR_SCHEMA,POST,68,0
T007471,Timeout,ERR_TIMEOUT,GET,316,0
T009972,Rate Limit,ERR_RATE,GET,502,3
T002199,Timeout,ERR_500,POST,577,0
T006198,Timeout,ERR_PAYLOAD,POST,607,2
T001484,500 Server Error,ERR_SCHEMA,POST,460,0
T007749,Auth Failure,ERR_RATE,GET,289,0
T006497,Schema Mismatch,ERR_RATE,POST,27,0
T005563,Auth Failure,ERR_TIMEOUT,POST,90,1
T002298,Timeout,ERR_TIMEOUT,GET,228,0
T004532,Rate Limit,ERR_PAYLOAD,GET,137,3
