ticket_id,created_at,first_response_at,resolved_at,priority,status,issue_type,channel,customer_id,agent_id,first_response_mins,resolution_time_hours,sla_hours,sla_breached,reopened,escalated,csat,created_date,created_hour,created_weekday,agent_name,team,experience_years,customer_size,customer_segment,year_month
T000024,2025-10-24 10:33:36,2025-10-24 11:05:36,2025-10-25 08:23:32.722805,High,Closed,Api Failure,Phone,C0592,A025,32.0,21.83242300138889,24,0,False,True,3.7,2025-10-24,10,Friday,Agent_25,Tier 1,1.7,Large,FinTech,2025-10
T000025,2025-07-03 16:40:22,2025-07-03 18:51:22,2025-07-03 17:40:22.000000,Low,Closed,Performance Issue,Email,C0191,A001,131.0,1.0,168,0,False,False,4.7,2025-07-03,16,Thursday,Agent_1,Tier 1,1.3,Large,E-commerce,2025-07
T000026,2025-08-23 20:01:38,2025-08-24 00:28:38,2025-08-26 09:28:00.832954,Medium,Closed,Ui Bug,Email,C0101,A025,267.0,61.43967582055556,72,0,False,False,2.7,2025-08-23,20,Saturday,Agent_25,Tier 1,1.7,Small,Retail,2025-08
T000027,2025-10-09 07:56:53,2025-10-09 09:40:53,2025-10-10 05:22:15.640574,Medium,Closed,Permission Issue,Phone,C0485,A001,104.0,21.422955715,72,0,False,False,3.4,2025-10-09,7,Thursday,Agent_1,Tier 1,1.3,Small,Education,2025-10
T000028,2024-11-17 01:16:20,2024-11-17 04:38:20,2024-11-18 23:34:15.129662,Medium,Closed,Data Mismatch,Email,C0285,A032,202.0,46.29864712833333,72,0,False,False,4.0,2024-11-17,1,Sunday,Agent_32,Tier 1,1.4,Large,E-commerce,2024-11
T000029,2025-05-28 03:54:28,2025-05-28 14:04:28,2025-05-28 07:50:43.213205,Low,Closed,Ui Bug,Portal,C0733,A003,610.0,3.937559223611111,168,0,False,False,2.7,2025-05-28,3,Wednesday,Agent_3,Tier 2,1.1,Small,HR,2025-05
T000030,2025-03-11 03:30:02,2025-03-11 05:26:02,2025-03-11 04:59:35.596773,Low,Closed,Ui Bug,Portal,C0390,A019,116.0,1.492665770277778,168,0,False,False,4.4,2025-03-11,3,Tuesday,Agent_19,Tier 1,1.1,Enterprise,Education,2025-03
T000031,2025-05-01 17:54:12,2025-05-01 22:25:12,2025-05-01 23:58:27.204379,Low,Closed,Api Failure,Chat,C0565,A029,271.0,6.070890105277777,168,0,False,False,3.0,2025-05-01,17,Thursday,Agent_29,Tier 2,1.2,Small,E-commerce,2025-05
T000032,2025-01-26 19:36:00,2025-01-26 22:58:00,2025-01-27 01:19:05.839278,Low,Closed,Login Issue,Chat,C0160,A002,202.0,5.718288688333333,168,0,False,False,4.5,2025-01-26,19,Sunday,Agent_2,Escalations,2.4,Small,Retail,2025-01
T000033,2025-10-26 15:27:44,2025-10-27 04:06:44,2025-10-28 14:52:53.549912,Low,Closed,Integration Config,Email,C0554,A009,759.0,47.419319419999994,168,0,False,False,2.5,2025-10-26,15,Sunday,Agent_9,Tier 2,2.6,Medium,E-commerce,2025-10
T000034,2025-09-22 09:19:46,2025-09-22 12:15:46,2025-09-23 07:01:35.569666,Medium,Closed,Billing Query,Portal,C0047,A017,176.0,21.697102684999997,72,0,False,False,2.9,2025-09-22,9,Monday,Agent_17,Tier 1,1.2,Large,Healthcare,2025-09
T000035,2025-03-05 18:58:21,2025-03-06 02:28:21,2025-03-06 13:42:23.677536,Low,Closed,Payroll Sync Error,Email,C0159,A036,450.0,18.734077093333333,168,0,True,False,3.0,2025-03-05,18,Wednesday,Agent_36,Integration,3.6,Medium,Retail,2025-03
T000036,2024-12-06 04:31:07,2024-12-06 05:18:07,2024-12-07 00:21:28.956035,High,Closed,Billing Query,Email,C0446,A017,47.0,19.839432231944443,24,0,False,False,3.8,2024-12-06,4,Friday,Agent_17,Tier 1,1.2,Small,Retail,2024-12
T000037,2025-10-02 17:49:07,2025-10-03 07:02:07,2025-10-02 18:49:07.000000,Low,Closed,Payroll Sync Error,Email,C0696,A012,793.0,1.0,168,0,False,False,3.9,2025-10-02,17,Thursday,Agent_12,Escalations,4.0,Small,FinTech,2025-10
T000038,2025-02-21 02:28:04,2025-02-21 04:30:04,2025-02-23 04:27:49.987814,Medium,Closed,Ui Bug,Portal,C0758,A020,122.0,49.996107726111106,72,0,False,False,4.4,2025-02-21,2,Friday,Agent_20,Tier 1,1.8,Small,E-commerce,2025-02
T000039,2025-04-15 18:18:25,2025-04-15 19:56:25,2025-04-15 23:39:41.648432,Medium,Closed,Api Failure,Email,C0523,A003,98.0,5.354624564444445,72,0,False,False,4.9,2025-04-15,18,Tuesday,Agent_3,Tier 2,1.1,Small,HR,2025-04
T000040,2025-05-27 20:21:43,2025-05-28 01:36:43,2025-05-28 03:21:08.593292,Low,Closed,Login Issue,Portal,C0666,A004,315.0,6.990442581111111,168,0,False,False,3.5,2025-05-27,20,Tuesday,Agent_4,Tier 2,5.8,Large,FinTech,2025-05
T000041,2025-09-09 04:37:14,2025-09-09 08:09:14,2025-09-09 08:28:37.030417,Low,Closed,Login Issue,Chat,C0732,A017,212.0,3.8563973380555554,168,0,False,False,4.6,2025-09-09,4,Tuesday,Agent_17,Tier 1,1.2,Large,E-commerce,2025-09
T000042,2025-07-04 13:37:46,2025-07-04 21:29:46,2025-07-04 23:25:54.767563,Low,Closed,Api Failure,Email,C0155,A037,472.0,9.802435434166666,168,0,False,False,3.7,2025-07-04,13,Friday,Agent_37,Tier 1,4.0,Small,Retail,2025-07
T000043,2025-01-27 05:32:45,2025-01-27 07:52:45,2025-01-27 13:15:38.936341,Medium,Closed,Login Issue,Phone,C0339,A015,140.0,7.714982316944445,72,0,False,False,3.4,2025-01-27,5,Monday,Agent_15,Tier 1,2.8,Medium,FinTech,2025-01
T000044,2025-09-20 01:56:49,2025-09-20 03:50:49,2025-09-21 05:44:46.485518,Medium,Closed,Login Issue,Email,C0365,A033,114.0,27.79930153277778,72,0,False,False,4.1,2025-09-20,1,Saturday,Agent_33,Tier 1,1.0,Large,FinTech,2025-09
T000045,2025-03-21 02:11:36,2025-03-21 02:40:36,2025-03-21 03:11:36.000000,Urgent,Closed,Login Issue,Email,C0795,A016,29.0,1.0,4,0,False,True,4.6,2025-03-21,2,Friday,Agent_16,Tier 1,6.1,Small,Education,2025-03
T000046,2025-09-10 13:03:45,2025-09-10 18:28:45,2025-09-10 14:03:45.000000,Low,Closed,Login Issue,Phone,C0699,A011,325.0,1.0,168,0,False,False,4.5,2025-09-10,13,Wednesday,Agent_11,Tier 1,8.0,Medium,E-commerce,2025-09
T000047,2025-06-05 03:03:56,2025-06-05 03:19:56,2025-06-05 07:13:34.414671,High,Closed,Payroll Sync Error,Email,C0574,A020,16.0,4.160670741944444,24,0,False,True,4.4,2025-06-05,3,Thursday,Agent_20,Tier 1,1.8,Medium,Retail,2025-06
T000048,2024-12-07 07:52:24,2024-12-07 08:18:24,2024-12-09 03:08:37.968961,Medium,Closed,Data Mismatch,Email,C0148,A038,26.0,43.270546933611115,72,0,False,False,4.0,2024-12-07,7,Saturday,Agent_38,Tier 1,1.2,Small,FinTech,2024-12
T000049,2025-02-07 18:51:18,2025-02-08 02:54:18,2025-02-08 18:39:55.614678,Low,Closed,Permission Issue,Email,C0144,A024,483.0,23.810448521666665,168,0,False,False,4.1,2025-02-07,18,Friday,Agent_24,Tier 1,1.9,Small,Education,2025-02
T000050,2025-01-20 06:36:14,2025-01-20 10:03:14,2025-01-22 16:28:09.664858,Low,Pending,Payroll Sync Error,Chat,C0103,A016,207.0,57.865462460555555,168,0,False,False,3.8,2025-01-20,6,Monday,Agent_16,Tier 1,6.1,Large,FinTech,2025-01
T000051,2025-05-30 00:07:19,2025-05-30 03:09:19,2025-05-30 06:25:28.822873,Low,Closed,Login Issue,Phone,C0093,A030,182.0,6.302728575833334,168,0,False,False,3.1,2025-05-30,0,Friday,Agent_30,Tier 1,9.7,Medium,E-commerce,2025-05
T000052,2025-08-31 11:36:10,2025-08-31 13:47:10,2025-09-04 09:55:15.022366,Medium,Closed,Integration Config,Email,C0286,A034,131.0,94.31806176833334,72,0,False,False,3.5,2025-08-31,11,Sunday,Agent_34,Integration,4.4,Small,Healthcare,2025-08
T000053,2025-06-11 06:48:17,2025-06-11 07:29:17,2025-06-11 16:58:05.110090,High,Closed,Login Issue,Email,C0424,A001,41.0,10.16336391388889,24,0,False,False,3.7,2025-06-11,6,Wednesday,Agent_1,Tier 1,1.3,Large,FinTech,2025-06
T000054,2025-09-30 20:29:10,2025-10-01 05:18:10,2025-10-02 15:59:48.667934,Low,Pending,Integration Config,Email,C0119,A024,529.0,43.51074109277778,168,0,False,False,2.9,2025-09-30,20,Tuesday,Agent_24,Tier 1,1.9,Large,Education,2025-09
T000055,2025-03-20 06:37:31,2025-03-20 16:09:31,2025-03-20 08:29:45.371095,Low,Closed,Login Issue,Email,C0029,A024,572.0,1.8706586375,168,0,False,False,3.1,2025-03-20,6,Thursday,Agent_24,Tier 1,1.9,Small,HR,2025-03
T000056,2024-12-20 11:04:05,2024-12-20 15:40:05,2024-12-21 14:17:18.279835,Low,Closed,Payroll Sync Error,Chat,C0511,A009,276.0,27.22035550972222,168,0,False,False,2.1,2024-12-20,11,Friday,Agent_9,Tier 2,2.6,Small,Education,2024-12
T000057,2025-10-06 22:57:23,2025-10-07 07:41:23,2025-10-07 00:58:27.675094,Low,Closed,Login Issue,Email,C0030,A022,524.0,2.017965303888889,168,0,False,False,3.9,2025-10-06,22,Monday,Agent_22,Tier 1,1.6,Small,Education,2025-10
T000058,2024-12-07 20:39:50,2024-12-07 20:57:50,2024-12-08 21:52:07.993858,High,Closed,Payroll Sync Error,Phone,C0366,A012,18.0,25.204998293888888,24,0,False,False,3.5,2024-12-07,20,Saturday,Agent_12,Escalations,4.0,Large,Education,2024-12
T000059,2025-09-21 21:51:59,2025-09-22 04:43:59,2025-09-22 03:58:42.302533,Low,Closed,Permission Issue,Portal,C0800,A017,412.0,6.112028481388888,168,0,False,False,3.7,2025-09-21,21,Sunday,Agent_17,Tier 1,1.2,Small,HR,2025-09
T000060,2025-04-11 04:23:08,2025-04-11 12:59:08,2025-04-11 12:27:04.427548,Low,Closed,Login Issue,Portal,C0138,A025,516.0,8.065674318888888,168,0,False,False,4.1,2025-04-11,4,Friday,Agent_25,Tier 1,1.7,Medium,E-commerce,2025-04
T000061,2025-03-26 00:32:51,2025-03-26 01:32:51,2025-03-26 01:32:51.000000,High,Open,Performance Issue,Email,C0475,A028,60.0,1.0,24,0,False,False,4.5,2025-03-26,0,Wednesday,Agent_28,Tier 2,4.2,Large,E-commerce,2025-03
T000062,2025-01-17 08:05:35,2025-01-17 14:23:35,2025-01-17 21:07:41.978550,Low,Closed,Api Failure,Chat,C0563,A015,378.0,13.035271819444445,168,0,False,False,3.1,2025-01-17,8,Friday,Agent_15,Tier 1,2.8,Small,FinTech,2025-01
T000063,2025-02-24 07:37:21,2025-02-24 15:51:21,2025-02-25 11:59:41.010159,Low,Closed,Billing Query,Portal,C0392,A030,494.0,28.372225044166665,168,0,False,False,3.4,2025-02-24,7,Monday,Agent_30,Tier 1,9.7,Enterprise,HR,2025-02
T000064,2025-09-22 03:39:21,2025-09-22 03:55:21,2025-09-23 21:08:51.393922,Medium,Closed,Payroll Sync Error,Email,C0435,A027,16.0,41.49177608944444,72,0,False,False,4.0,2025-09-22,3,Monday,Agent_27,Tier 1,1.3,Small,Education,2025-09
T000065,2025-09-11 23:38:35,2025-09-12 01:51:35,2025-09-12 00:38:35.000000,Medium,Closed,Payroll Sync Error,Portal,C0234,A022,133.0,1.0,72,0,False,False,3.8,2025-09-11,23,Thursday,Agent_22,Tier 1,1.6,Enterprise,FinTech,2025-09
T000066,2025-01-17 10:05:42,2025-01-17 15:12:42,2025-01-18 14:01:57.366969,Medium,Closed,Ui Bug,Portal,C0055,A010,307.0,27.93760193583333,72,0,False,False,4.2,2025-01-17,10,Friday,Agent_10,Tier 2,1.4,Large,Retail,2025-01
T000067,2025-09-01 19:37:43,2025-09-01 21:47:43,2025-09-02 04:09:22.837673,Medium,Closed,Login Issue,Email,C0292,A031,130.0,8.527732686944445,72,0,False,False,3.5,2025-09-01,19,Monday,Agent_31,Tier 2,4.0,Small,Retail,2025-09
T000068,2024-12-28 18:22:41,2024-12-28 22:43:41,2024-12-31 07:21:53.534918,Low,Closed,Permission Issue,Chat,C0752,A027,261.0,60.986815254999996,168,0,False,False,3.9,2024-12-28,18,Saturday,Agent_27,Tier 1,1.3,Small,HR,2024-12
T000069,2024-12-13 05:00:04,2024-12-13 05:50:04,2024-12-13 16:19:01.214004,Low,Closed,Api Failure,Email,C0312,A012,50.0,11.31589277888889,168,0,False,False,3.6,2024-12-13,5,Friday,Agent_12,Escalations,4.0,Small,Healthcare,2024-12
T000070,2024-11-08 11:48:16,2024-11-08 12:16:16,2024-11-08 12:48:16.000000,High,Closed,Integration Config,Email,C0548,A031,28.0,1.0,24,0,False,True,2.8,2024-11-08,11,Friday,Agent_31,Tier 2,4.0,Medium,E-commerce,2024-11
T000071,2025-06-01 02:41:58,2025-06-01 08:16:58,2025-06-01 03:41:58.000000,Low,Closed,Payroll Sync Error,Portal,C0089,A032,335.0,1.0,168,0,False,False,3.4,2025-06-01,2,Sunday,Agent_32,Tier 1,1.4,Small,Healthcare,2025-06
T000072,2024-12-07 03:29:11,2024-12-07 04:03:11,2024-12-07 18:44:32.266770,Urgent,Closed,Data Mismatch,Portal,C0212,A032,34.0,15.255907436111112,4,0,False,False,4.3,2024-12-07,3,Saturday,Agent_32,Tier 1,1.4,Small,Healthcare,2024-12
T000073,2025-09-07 16:48:31,2025-09-08 00:46:31,2025-09-08 08:13:58.068166,Low,Closed,Data Mismatch,Portal,C0318,A035,478.0,15.424185601666666,168,0,False,False,4.1,2025-09-07,16,Sunday,Agent_35,Escalations,3.5,Small,HR,2025-09
T000074,2024-11-10 06:15:01,2024-11-10 07:09:01,2024-11-12 20:16:12.553776,High,Closed,Integration Config,Email,C0757,A021,54.0,62.01987604888888,24,0,False,False,4.4,2024-11-10,6,Sunday,Agent_21,Tier 2,2.0,Large,HR,2024-11
T000075,2024-12-18 11:03:32,2024-12-18 13:36:32,2024-12-19 10:13:50.732830,Medium,Closed,Api Failure,Portal,C0465,A010,153.0,23.171870230555555,72,0,False,False,3.8,2024-12-18,11,Wednesday,Agent_10,Tier 2,1.4,Medium,Education,2024-12
T000076,2025-02-28 18:26:54,2025-02-28 22:03:54,2025-02-28 19:26:54.000000,Low,Closed,Performance Issue,Portal,C0087,A016,217.0,1.0,168,0,False,False,2.7,2025-02-28,18,Friday,Agent_16,Tier 1,6.1,Small,Retail,2025-02
T000077,2025-07-21 05:04:21,2025-07-21 16:36:21,2025-07-21 18:08:24.488867,Low,Closed,Performance Issue,Portal,C0409,A007,692.0,13.067635796388888,168,0,False,False,3.6,2025-07-21,5,Monday,Agent_7,Tier 1,1.7,Enterprise,Retail,2025-07
T000078,2025-07-22 18:55:42,2025-07-22 19:35:42,2025-07-24 08:15:26.123137,Medium,Closed,Billing Query,Portal,C0240,A004,40.0,37.32892309361111,72,0,False,False,4.8,2025-07-22,18,Tuesday,Agent_4,Tier 2,5.8,Small,Education,2025-07
T000079,2025-07-13 19:29:37,2025-07-13 21:10:37,2025-07-16 03:40:00.063363,Medium,Closed,Data Mismatch,Chat,C0700,A027,101.0,56.17307315638889,72,0,False,False,3.6,2025-07-13,19,Sunday,Agent_27,Tier 1,1.3,Medium,Retail,2025-07
T000080,2025-07-26 13:23:12,2025-07-26 13:31:12,2025-07-26 16:43:54.078657,Medium,Closed,Api Failure,Email,C0057,A025,8.0,3.345021849166667,72,0,False,False,3.9,2025-07-26,13,Saturday,Agent_25,Tier 1,1.7,Medium,E-commerce,2025-07
T000081,2025-02-17 06:12:06,2025-02-17 12:14:06,2025-02-17 14:28:12.442670,Low,Closed,Login Issue,Email,C0113,A031,362.0,8.268456297222222,168,0,False,False,3.5,2025-02-17,6,Monday,Agent_31,Tier 2,4.0,Large,HR,2025-02
T000082,2025-02-11 20:09:26,2025-02-11 20:11:26,2025-02-13 08:12:26.006178,Medium,Closed,Performance Issue,Email,C0735,A011,2.0,36.05000171611111,72,0,False,False,5.0,2025-02-11,20,Tuesday,Agent_11,Tier 1,8.0,Large,FinTech,2025-02
T000083,2025-10-20 15:35:53,2025-10-20 18:46:53,2025-10-21 10:05:05.678158,Low,Closed,Performance Issue,Chat,C0070,A020,191.0,18.486855043888887,168,0,False,False,4.5,2025-10-20,15,Monday,Agent_20,Tier 1,1.8,Small,E-commerce,2025-10
T000084,2025-10-20 09:40:58,2025-10-20 20:39:58,2025-10-20 19:37:08.425878,Low,Closed,Login Issue,Email,C0739,A036,659.0,9.936229410555557,168,0,False,False,3.2,2025-10-20,9,Monday,Agent_36,Integration,3.6,Small,Retail,2025-10
T000085,2025-04-26 23:52:41,2025-04-27 01:43:41,2025-04-27 20:02:28.230107,Low,Closed,Api Failure,Chat,C0768,A017,111.0,20.163119474166667,168,0,False,False,4.2,2025-04-26,23,Saturday,Agent_17,Tier 1,1.2,Enterprise,Healthcare,2025-04
T000086,2025-02-03 00:02:37,2025-02-03 06:01:37,2025-02-03 16:51:35.694311,Low,Closed,Billing Query,Email,C0692,A011,359.0,16.816303975277776,168,0,False,False,3.3,2025-02-03,0,Monday,Agent_11,Tier 1,8.0,Large,FinTech,2025-02
T000087,2025-07-06 22:02:25,2025-07-06 23:28:25,2025-07-07 03:16:50.435251,High,Closed,Login Issue,Portal,C0184,A030,86.0,5.240398680833333,24,0,False,False,5.0,2025-07-06,22,Sunday,Agent_30,Tier 1,9.7,Medium,Retail,2025-07
T000088,2025-02-06 10:07:13,2025-02-07 01:20:13,2025-02-08 12:39:31.066508,Low,Closed,Payroll Sync Error,Email,C0703,A035,913.0,50.53835180777777,168,0,False,False,1.6,2025-02-06,10,Thursday,Agent_35,Escalations,3.5,Small,E-commerce,2025-02
T000089,2024-12-03 19:05:52,2024-12-04 03:51:52,2024-12-04 23:50:43.316883,Low,Closed,Performance Issue,Email,C0744,A038,526.0,28.747588023055556,168,0,False,False,2.2,2024-12-03,19,Tuesday,Agent_38,Tier 1,1.2,Small,Healthcare,2024-12
T000090,2025-03-17 19:29:29,2025-03-17 21:50:29,2025-03-19 09:54:25.889999,Medium,Closed,Permission Issue,Email,C0276,A022,141.0,38.415802777500005,72,0,False,False,2.5,2025-03-17,19,Monday,Agent_22,Tier 1,1.6,Medium,Retail,2025-03
T000091,2025-01-25 09:01:59,2025-01-25 15:57:59,2025-01-26 17:04:28.164365,Low,Closed,Billing Query,Email,C0233,A027,416.0,32.04143454583333,168,0,False,False,4.3,2025-01-25,9,Saturday,Agent_27,Tier 1,1.3,Small,Healthcare,2025-01
T000092,2025-07-19 04:12:30,2025-07-19 04:35:30,2025-07-19 17:26:23.216646,High,Closed,Login Issue,Chat,C0054,A037,23.0,13.231449068333333,24,0,False,False,3.5,2025-07-19,4,Saturday,Agent_37,Tier 1,4.0,Small,Education,2025-07
T000093,2024-11-15 18:37:27,2024-11-15 22:57:27,2024-11-16 13:05:35.751778,Low,Closed,Payroll Sync Error,Chat,C0257,A035,260.0,18.46909771611111,168,0,False,False,2.8,2024-11-15,18,Friday,Agent_35,Escalations,3.5,Large,HR,2024-11
T000094,2025-03-24 21:06:56,2025-03-24 22:35:56,2025-03-26 08:21:55.228976,High,Closed,Data Mismatch,Chat,C0090,A004,89.0,35.24978582666667,24,0,False,False,4.8,2025-03-24,21,Monday,Agent_4,Tier 2,5.8,Medium,Retail,2025-03
T000095,2025-10-12 11:08:59,2025-10-12 22:18:59,2025-10-13 08:38:50.320148,Low,Closed,Ui Bug,Portal,C0738,A016,670.0,21.49758893,168,0,False,False,2.6,2025-10-12,11,Sunday,Agent_16,Tier 1,6.1,Small,HR,2025-10
T000096,2025-05-05 15:48:42,2025-05-06 01:46:42,2025-05-05 16:48:42.000000,Low,Closed,Api Failure,Email,C0759,A016,598.0,1.0,168,0,False,False,4.2,2025-05-05,15,Monday,Agent_16,Tier 1,6.1,Medium,Retail,2025-05
T000097,2025-01-02 16:39:35,2025-01-02 20:07:35,2025-01-02 19:56:33.277091,Medium,Closed,Billing Query,Portal,C0663,A021,208.0,3.2828547475,72,0,False,False,4.2,2025-01-02,16,Thursday,Agent_21,Tier 2,2.0,Medium,Education,2025-01
T000098,2025-09-17 12:36:40,2025-09-17 15:44:40,2025-09-18 23:14:46.812905,Medium,Closed,Billing Query,Portal,C0435,A026,188.0,34.63522580694445,72,0,False,False,3.4,2025-09-17,12,Wednesday,Agent_26,Tier 2,2.6,Small,Education,2025-09
T000099,2025-02-09 18:00:13,2025-02-09 21:10:13,2025-02-10 09:20:45.724182,Medium,Closed,Api Failure,Portal,C0625,A036,190.0,15.342423383888889,72,0,False,False,4.0,2025-02-09,18,Sunday,Agent_36,Integration,3.6,Small,Healthcare,2025-02
T000100,2025-06-18 10:15:31,2025-06-18 23:41:31,2025-06-20 11:46:36.686907,Low,Open,Payroll Sync Error,Email,C0408,A019,806.0,49.51824636305555,168,0,False,False,2.1,2025-06-18,10,Wednesday,Agent_19,Tier 1,1.1,Small,Education,2025-06
